# 收盤價 MD
# T:2026-09-10 07:14

## [CLOSE]
```csv
代號,收盤價
2330,2465.0
2303,141.5
2344,183.0
2454,4625.0
3037,993.0
2408,523.0
2409,30.5
3105,464.0
1303,236.5
2327,565.0
3481,50.1
3711,640.0
3081,2850.0
2308,1795.0
8046,1110.0
3231,189.0
3189,812.0
3661,3905.0
6274,1345.0
2360,2335.0
6515,7280.0
4979,610.0
3026,758.0
8039,289.5
6147,198.0
4958,502.0
2382,342.0
2383,5375.0
1815,126.0
3008,6870.0
6770,72.4
2492,319.5
6223,5615.0
6669,2325.0
8996,1345.0
3017,3380.0
6213,523.0
5274,18605.0
2345,2015.0
3167,900.0
6510,3610.0
2368,1100.0
3653,5760.0
3406,1110.0
3529,2780.0
6446,1345.0
3443,5925.0
6442,1700.0
2426,99.5
7769,6720.0
3006,306.5
6531,999.0
2059,12400.0
2317,252.0
00631L,37.54
0050,109.65
2313,228.0
3665,1975.0
3363,708.0
3680,566.0
2337,126.5
8064,134.0
6488,955.0
00919,32.58
6505,87.5
2301,292.5
8299,2085.0
3532,424.0
6187,1330.0
00981A,29.92
3042,184.5
6239,281.0
2481,152.0
8150,91.5
6805,2295.0
6173,268.5
2449,270.0
3605,129.5
3441,143.5
2049,370.5
3260,414.5
2615,116.0
2887,42.4
3163,724.0
2884,44.25
1326,71.8
6672,299.5
2882,110.5
3624,103.5
2881,147.0
1409,26.85
7610,2030.0
3715,135.0
3131,2555.0
6182,110.5
3044,509.0
5347,157.0
5314,42.55
2379,705.0
3055,149.5
2603,234.0
3034,543.0
6426,321.0
00403A,10.35
3491,1455.0
2891,66.6
00685L,12.39
2883,36.75
6949,54.9
6196,534.0
3324,1385.0
2609,58.5
8112,86.5
3450,520.0
00918,35.46
1301,66.7
3211,367.0
3693,700.0
2357,979.0
4931,252.5
8358,526.0
3264,233.0
6683,1370.0
2376,349.5
6451,427.0
2377,156.5
1590,1330.0
2464,197.5
4971,621.0
8227,198.0
2885,69.7
5289,1355.0
7828,2080.0
6290,275.0
2395,653.0
3706,81.8
2412,139.5
4967,281.5
2324,38.9
2455,533.0
8210,916.0
6291,480.0
2404,1065.0
2351,237.5
2892,37.8
6139,750.0
2467,581.0
3374,478.5
2890,43.2
3376,206.0
7711,610.0
6271,226.5
5475,193.0
6116,14.65
6257,213.0
2834,17.95
5351,118.0
2486,249.5
6207,116.0
3702,105.0
00406A,9.66
4576,244.0
3362,189.5
3045,119.5
6830,576.0
2356,64.3
6179,36.4
009816,16.11
7788,320.5
3714,63.7
00991A,17.7
1519,735.0
5871,112.0
0056,55.75
5483,181.0
8069,149.5
4977,170.5
1101,24.75
8111,72.0
00878,34.13
6415,417.0
2801,26.85
5340,84.8
2421,167.5
6727,508.0
7795,548.0
0052,63.75
2886,50.3
3533,1625.0
00632R,9.7
6907,195.5
3583,730.0
1802,60.2
1560,730.0
4908,242.0
2027,48.6
7717,509.0
3036,191.5
6834,101.0
3234,200.0
3293,708.0
2489,39.45
6640,1200.0
1216,76.0
2002,19.25
6789,475.5
00712,8.6
1597,151.5
4938,91.1
6715,354.5
6285,233.5
8131,63.5
2484,70.5
2436,69.0
8021,442.5
8042,112.5
2812,19.15
6278,193.5
6269,69.3
1605,38.35
00405A,8.78
00992A,18.25
2605,36.95
6831,575.0
7734,2980.0
6829,254.0
4749,770.0
2413,50.5
00881,50.95
6209,79.1
6739,1200.0
2618,42.55
2363,52.6
1476,295.5
1709,35.6
00929,29.12
009828,9.71
3019,142.5
2634,65.3
8103,113.0
3498,191.0
5536,862.0
6217,180.0
2359,133.5
00891,35.82
2353,31.8
00679B,25.58
2451,287.5
8096,99.9
6226,29.65
8027,178.0
6547,68.1
2354,64.5
00663L,108.35
4904,104.0
00937B,14.2
3090,166.0
1717,72.3
2305,35.0
2474,206.0
3033,41.85
6919,82.4
5880,26.85
8043,140.0
6538,349.0
2880,44.35
00830,83.1
6409,926.0
00935,60.0
2542,48.2
6620,132.0
006208,250.3
1102,35.4
2606,79.7
6530,96.0
00400A,15.06
5439,264.5
5269,1395.0
5904,72.9
4991,499.0
4739,77.6
8028,236.0
6449,225.5
8926,59.3
2441,114.5
00673R,10.93
5443,111.5
3035,176.5
3016,100.0
4770,249.5
2465,96.1
3229,60.7
00988A,16.28
5425,90.0
6584,586.0
7751,1610.0
00407A,9.74
6588,115.0
00927,37.74
1312,14.65
3718,68.1
8271,217.5
2428,248.5
5876,47.5
2637,100.5
00764B,26.8
3149,62.5
2316,161.0
4763,48.3
1513,167.0
2472,215.0
00982A,22.89
1477,197.5
2855,52.1
8261,170.5
6781,1065.0
6176,90.2
009829,11.12
4939,90.7
2385,106.5
00708L,80.25
3141,93.9
6788,347.0
00662,119.45
00715L,60.7
2912,217.5
5434,535.0
9904,24.55
6414,378.5
00411A,9.95
00687B,26.91
2388,77.9
4961,177.0
2889,16.7
4915,61.4
2221,87.8
1504,70.9
8932,93.4
6231,226.5
1718,10.85
2375,123.0
8033,174.5
00961,13.49
3005,115.0
6218,46.9
00896,28.55
7750,2270.0
3504,86.0
8086,113.5
00675L,328.1
6214,187.5
00637L,19.65
3563,688.0
4919,119.0
8383,68.1
6197,302.5
1503,206.0
00953B,9.5
6691,619.0
00409A,9.85
7772,130.0
00888,34.67
00713,63.65
2478,122.5
00892,42.7
009803,22.24
3479,131.5
1785,101.5
6526,643.0
8016,284.0
6472,407.5
5386,283.0
00795B,25.69
6282,43.7
00646,76.1
6643,433.0
9105,8.89
6127,51.8
2338,41.5
1402,28.7
00404A,10.02
2610,20.45
4966,550.0
6933,338.0
9921,98.5
2347,88.6
2439,74.9
6861,185.5
6693,182.0
3645,73.9
4927,42.55
3030,271.0
00722B,33.92
6016,22.9
3094,40.8
4551,168.0
6168,29.6
6023,85.5
3162,73.6
2312,31.8
6005,32.2
00990A,15.16
00922,42.53
4707,27.2
1722,44.2
00998A,17.9
6944,715.0
00735,107.05
2009,40.5
4764,226.5
1609,38.1
00940,12.94
3673,64.2
2645,174.5
00947,38.33
1314,8.21
7792,322.5
8091,212.0
5388,73.0
1528,20.25
009826,10.05
6121,383.0
3088,126.5
00724B,32.37
6191,83.1
5464,82.8
3135,170.0
1727,91.1
3413,282.0
3587,251.0
6533,253.5
9910,68.6
6664,353.5
6199,97.1
3455,232.0
4760,266.5
6719,182.5
4772,246.0
6617,131.0
2458,130.0
00720B,31.54
2367,42.2
2374,67.7
3023,329.0
3217,128.5
6206,137.5
3022,85.7
6706,124.0
1714,16.8
3707,60.1
1795,179.0
3010,125.0
6548,71.7
1514,103.5
8040,79.2
6456,67.5
00751B,30.06
3227,185.5
6190,69.0
00999A,11.53
00933B,15.38
2617,33.4
5328,58.8
3596,157.5
5864,36.3
8431,61.2
1608,37.0
9958,91.7
6141,50.5
2332,19.15
2233,166.0
2104,10.8
7799,386.5
4590,93.4
2103,26.5
1721,23.7
7822,902.0
00635U,45.3
2851,45.5
4973,147.5
00865B,48.32
2845,13.55
5291,61.9
6265,53.1
4989,61.5
6525,130.5
2476,120.0
3357,208.0
3354,28.7
00980A,24.86
2254,65.2
9914,79.2
6138,272.5
6015,17.45
2493,180.0
2466,103.5
4906,36.6
2369,30.3
3576,16.95
6416,105.5
8110,43.3
4912,97.5
2371,28.05
3221,48.35
00923,40.58
8114,180.0
3380,30.4
00757,137.4
1736,126.0
2105,30.8
00740B,36.97
5285,84.0
1808,35.1
4542,282.5
6224,84.5
00859B,40.67
4722,193.0
3675,271.5
2069,23.3
00984D,9.83
8155,348.0
3305,104.5
9945,28.2
2498,40.5
6716,119.5
6782,235.0
8436,108.0
5471,54.1
2061,47.1
