# 收盤價 MD
# T:2026-09-04 08:57

## [CLOSE]
```csv
代號,收盤價
00400A,14.88
00401A,13.96
00402A,9.35
00403A,10.06
00404A,9.7
00405A,8.57
00406A,9.46
00407A,9.56
00408A,10.35
00409A,9.59
00410A,11.84
00411A,9.48
0050,106.2
0051,144.0
0052,61.6
0053,239.7
0054,28.25
0055,48.2
0056,54.5
0057,317.75
0058,43.71
0059,42.85
0061,24.05
006201,43.34
006203,193.75
006204,230.8
006205,40.5
006206,37.74
006207,32.02
006208,243.8
00625K,8.77
00631L,35.41
00632R,10.0
00633L,47.65
00634R,3.15
00635U,45.76
00636,27.38
00636K,8.7
00637L,19.61
00638R,6.72
00639,16.01
00640L,107.7
00641R,3.67
00642U,29.95
00643,18.06
00643K,3.87
00645,57.75
00646,76.5
00647L,137.2
00648R,3.94
00649,19.12
00650L,16.76
00651R,5.21
00652,33.14
00653L,45.75
00654R,6.74
00655L,33.07
00656R,5.92
00657,74.95
00657K,23.94
00658L,37.0
00659R,11.21
00660,46.67
00661,82.8
00662,118.45
00663L,102.3
00664R,1.61
00665L,9.26
00666R,9.09
00667,20.79
00668,61.55
00668K,19.42
00669R,5.21
00670L,193.7
00671R,2.47
00672L,0.75
00673R,11.4
00674R,27.62
00675L,310.0
00676R,5.52
00677U,1.48
00678,44.4
00679B,25.77
00680L,6.4
00681R,21.76
00682U,20.52
00683L,21.42
00684R,15.19
00685L,11.69
00686R,0.98
00687B,27.11
00687C,9.1
00688L,6.39
00689R,22.73
00690,77.8
00691R,10.46
00692,91.2
00693U,23.92
00694B,41.71
00695B,34.58
00696B,28.07
00697B,35.16
00700,17.17
00701,39.6
00702,24.92
00703,19.32
00704L,18.84
00705R,19.03
00706L,19.29
00707R,32.18
00708L,82.05
00709,40.68
00710B,19.09
00711B,15.54
00712,8.64
00713,63.1
00714,21.51
00715L,56.05
00716R,13.96
00717,14.64
00718B,19.05
00719B,31.02
00720B,31.79
00721B,48.06
00722B,34.18
00723B,29.27
00724B,32.66
00725B,33.88
00726B,32.1
00727B,39.23
00728,68.05
00729R,20.56
00730,28.4
00731,97.15
00732,40.74
00733,64.95
00734B,15.36
00735,100.6
00736,31.63
00737,40.03
00738U,52.2
00739,27.44
00740B,37.24
00741B,37.13
00742,22.2
00743,24.2
00744B,42.35
00745B,42.04
00746B,34.34
00747B,51.85
00748B,42.52
00749B,30.7
00750B,31.59
00751B,30.3
00752,22.79
00753L,9.13
00754B,31.24
00755B,31.48
00756B,30.2
00757,138.25
00758B,49.97
00759B,52.55
00760B,51.95
00761B,32.93
00762,110.1
00763U,34.37
00764B,27.01
00765B,38.72
00766L,11.92
00767,17.4
00768B,47.99
00769B,60.3
00770,67.0
00771,15.25
00772B,32.36
00773B,34.7
00774B,40.85
00774C,9.12
00775B,30.86
00776,20.78
00777B,31.1
00778B,33.1
00779B,27.29
00780B,36.26
00781B,27.1
00782B,29.31
00783,27.76
