# 收盤價 MD
# T:2026-09-17 05:14

## [CLOSE]
```csv
代號,收盤價
2330,2380.0
2454,4530.0
6669,2165.0
2408,492.5
2308,1710.0
2303,142.0
3081,2805.0
2327,536.0
3008,6225.0
2344,169.0
3105,472.5
6147,207.5
6213,550.0
3037,961.0
1303,224.0
4958,493.5
2481,168.5
8358,510.0
2455,515.0
6274,1415.0
6173,315.0
3189,820.0
8046,1105.0
3017,3175.0
3653,5240.0
2383,5085.0
2409,29.4
3443,6170.0
0050,106.9
3324,1360.0
6770,69.9
3026,772.0
6488,937.0
3231,183.0
3661,3345.0
2382,340.5
8299,1985.0
3374,424.0
3711,605.0
2368,992.0
1815,118.5
2426,99.8
2059,12045.0
6182,112.0
3665,1995.0
3481,48.7
2317,248.0
3450,541.0
2492,307.5
2345,1840.0
00918,35.68
2313,225.0
3406,1005.0
00981A,28.33
6442,1575.0
00919,31.99
2301,277.0
8021,440.0
2891,70.8
3441,186.0
00631L,35.56
6683,1595.0
8039,275.5
3532,440.0
3006,281.0
2881,153.0
2882,112.5
6531,949.0
5274,18250.0
2603,239.0
2615,115.0
6446,1205.0
3605,140.0
2887,44.4
3624,123.0
2351,236.0
4908,240.5
2337,119.0
3042,185.5
2609,60.2
3167,824.0
5425,94.8
2357,939.0
7769,6125.0
2360,2090.0
6223,5600.0
3016,115.5
6510,3230.0
5269,1475.0
2412,143.5
6805,2045.0
3363,684.0
2468,43.65
2449,261.5
7610,1730.0
6505,80.5
2884,46.45
3491,1440.0
00406A,9.34
6239,274.5
6515,6210.0
2379,720.0
4991,428.0
2890,45.3
2883,39.15
6706,147.0
3044,504.0
5483,183.5
3034,548.0
2395,695.0
6672,304.0
2489,41.25
8996,1300.0
3529,2700.0
2464,183.0
2376,350.0
3029,119.5
3036,191.0
6715,393.0
2338,50.7
2886,50.9
3260,399.5
3163,663.0
6451,421.0
00685L,11.73
2305,49.4
4971,574.0
00712,8.21
6187,1220.0
3533,1510.0
1301,62.4
2801,28.9
6139,707.0
5347,158.0
1590,1240.0
5289,1295.0
1326,65.8
009816,15.89
3045,124.5
3362,177.0
5475,182.0
00929,28.84
2885,69.4
2892,40.0
3211,370.0
2221,105.5
2377,153.5
0056,55.55
4977,176.5
6426,330.0
8111,72.8
6209,80.0
6285,219.0
8028,233.0
00679B,25.4
2880,47.35
00632R,9.95
6830,529.0
1727,95.6
2324,37.35
3019,137.5
6218,54.1
00878,34.47
00403A,10.02
6291,490.5
3293,708.0
2451,282.5
6148,36.65
3264,223.0
6415,418.5
6290,264.0
1709,39.05
3702,106.0
0052,61.95
2404,1035.0
3693,681.0
2637,102.5
00991A,17.11
8150,87.1
7799,457.0
1528,24.95
8227,272.0
7711,514.0
3376,176.5
2049,331.5
8103,120.0
3714,64.3
1802,58.5
2486,229.5
2027,46.55
2634,65.0
8064,118.5
4904,105.0
3680,511.0
6257,210.0
00881,49.65
00637L,19.17
5351,105.5
6271,228.0
4938,89.0
2474,207.0
4939,82.0
8069,148.0
2353,32.0
4979,547.0
2484,71.4
6168,32.15
00935,56.35
3234,177.5
6861,223.0
2542,45.9
5880,27.35
2834,18.2
1216,74.5
00937B,14.11
2356,61.7
4967,275.0
3498,190.5
5871,112.5
6207,109.5
7828,2005.0
9958,89.2
4931,236.0
1519,706.0
1717,70.7
2002,18.65
00673R,9.95
8261,173.5
7717,527.0
1560,741.0
3675,295.5
8210,883.0
2605,36.05
8271,210.0
00663L,102.55
006208,244.6
6214,191.0
2618,41.3
5314,30.8
6789,434.0
6179,37.7
3707,63.0
00662,118.4
2493,188.0
2606,76.0
7795,476.0
00961,13.17
1101,24.05
6278,183.0
4915,65.6
3141,92.8
00992A,17.52
6414,367.5
2354,65.2
6217,165.0
8112,82.5
6620,134.0
6196,521.0
00830,79.45
6199,102.5
4763,44.9
3229,61.1
5434,537.0
7734,2490.0
00400A,14.52
6112,49.7
7788,292.0
5386,291.0
2413,53.0
1504,70.2
1477,191.0
6691,618.0
00922,41.61
3718,64.9
8027,174.0
4540,60.4
2207,520.0
2472,210.5
6919,81.6
3706,79.0
2312,30.95
5904,73.6
2889,17.3
4961,181.0
1402,27.4
1605,36.75
9904,24.5
4919,116.0
2912,215.0
3131,2325.0
3455,240.5
8096,89.8
3490,44.8
5876,49.75
3023,320.5
4576,233.0
00687B,26.39
00953B,9.54
3715,123.5
009828,9.36
6005,30.85
6933,314.5
6834,100.0
1476,284.0
2347,88.7
6727,477.0
5340,84.0
8033,169.0
3583,671.0
2399,47.3
00988A,15.8
6693,184.0
4956,35.25
00715L,71.6
2105,29.9
2467,519.0
3094,44.55
6226,39.9
009829,10.41
00927,37.21
6739,1050.0
2441,116.5
6409,880.0
3055,164.0
2385,105.5
2302,44.2
3090,163.5
8431,65.0
00708L,78.05
6526,629.0
2610,19.95
2236,114.0
00896,26.42
00891,34.99
6116,14.15
2855,51.6
3467,71.6
6227,133.0
8042,114.0
6949,53.1
3147,233.0
00405A,8.46
2332,19.35
2421,160.5
2812,19.3
6221,29.1
7750,1895.0
00633L,46.37
6668,43.2
2254,74.2
00713,64.4
3673,64.0
1312,14.8
8932,89.3
00982A,22.18
8086,107.5
6781,1005.0
3035,173.5
1785,94.7
1409,23.95
7751,1400.0
00998A,17.78
3515,211.0
00646,76.1
6617,138.0
4749,716.0
6121,376.5
1102,34.95
6831,525.0
00940,12.89
8436,103.5
9933,42.75
00980A,24.08
6811,246.0
00675L,310.85
2359,129.5
6538,380.5
3005,115.0
6530,96.6
3162,73.5
4768,313.0
2478,120.0
1513,162.5
6689,67.0
2352,29.15
6269,65.0
5439,243.5
3149,61.3
2851,46.35
4966,541.0
5469,74.7
6472,412.0
6190,68.8
2388,71.3
5536,839.0
2436,68.0
2363,52.0
2375,120.5
2316,158.5
7765,240.0
3580,90.8
1795,178.0
2342,40.55
2006,81.1
5328,52.7
3504,80.6
6547,60.5
2371,28.25
00795B,25.53
00892,41.18
6197,295.0
6870,316.0
6944,685.0
6491,393.0
8926,58.5
2374,66.7
4989,61.3
2103,26.85
2645,170.5
6584,555.0
2915,56.6
00757,138.6
6690,181.0
00923,39.58
6282,42.65
6640,1115.0
6829,212.5
1319,78.8
00859B,40.59
6416,118.0
5388,71.9
00753L,8.82
2633,25.95
2340,33.1
2498,40.2
6588,110.0
4927,42.6
1503,195.5
00865B,48.85
2428,254.0
6146,175.5
3563,642.0
8016,277.5
00724B,32.27
00407A,9.36
2845,13.6
6456,64.8
6176,92.2
00409A,9.46
00984D,9.85
00999A,10.95
4722,187.0
2393,63.1
8464,374.0
8043,132.0
1711,39.25
2061,51.9
9945,28.05
9941,80.8
6533,229.0
6937,290.0
5464,93.7
00981B,9.11
9910,67.5
1722,41.85
6525,128.5
00720B,31.57
00719B,30.97
00900,19.63
009826,9.98
00770,61.7
3704,40.15
9921,90.7
3014,132.5
8091,211.0
3596,153.0
6957,258.5
8110,41.9
1708,49.3
009803,20.63
6224,88.3
6443,23.8
00692,91.95
2458,128.5
6449,217.0
2466,104.0
2465,90.4
2427,23.65
9914,67.9
9105,8.44
1597,138.5
2329,42.55
1714,15.6
2367,39.8
00888,34.09
6907,181.5
00947,36.99
3357,201.0
00909,45.55
8422,26.0
6417,101.5
1514,99.8
2476,117.5
1314,8.15
00722B,33.89
8215,25.85
3617,243.0
3227,184.0
6945,120.0
00738U,51.25
4556,81.4
2392,41.95
6191,82.7
00934,29.42
00990A,14.62
00751B,30.05
8155,322.5
6127,48.55
5443,105.0
3311,38.1
3413,276.5
3030,262.5
00404A,9.46
4976,36.3
6166,109.5
4906,35.55
00985B,10.11
7749,359.0
6548,71.6
00635U,44.69
2453,55.3
6435,243.0
00877,37.85
1808,33.65
6643,420.0
00401A,13.86
00725B,33.62
3135,162.0
00894,46.52
1718,10.5
2548,91.9
5522,60.0
00680L,6.19
00945B,14.29
2439,78.0
2201,29.85
4764,209.0
3354,30.5
3297,31.8
1210,51.5
1229,40.05
6245,83.4
5251,30.15
5321,67.9
5285,84.0
00864B,46.09
3339,43.8
3033,41.5
00773B,34.06
7792,312.0
00933B,15.27
1723,80.1
00764B,26.33
009827,9.91
7822,810.0
2897,11.15
2485,38.95
7714,181.5
7825,88.0
6141,49.9
00643,17.79
6138,272.5
3535,85.4
5202,13.95
6016,22.1
00642U,34.24
2369,29.45
3587,235.0
6108,23.0
1529,14.8
2820,17.3
5284,292.0
6206,138.0
009805,14.6
1609,37.3
6265,48.6
5608,16.65
8454,243.0
8114,177.0
00665L,8.87
8383,65.5
3066,25.75
2646,20.15
00995A,16.68
00857B,22.22
00411A,9.66
6174,44.9
4973,139.0
8081,247.5
3663,60.4
00670L,192.7
2328,45.75
00939,24.17
3708,93.5
00731,98.5
00410A,11.69
00772B,31.87
2520,36.4
00915,32.59
2617,32.45
3576,16.3
4916,93.9
3221,47.3
00735,102.25
3078,44.95
2480,160.0
5243,88.4
1710,15.7
2233,158.0
6231,211.5
3305,101.0
1215,106.0
3022,86.0
2101,29.85
8040,78.2
6133,23.7
4739,78.0
8045,52.8
3265,162.0
5864,34.3
00955,16.44
2355,40.7
00696B,27.67
009821,14.02
00924,32.64
6664,336.0
4123,30.75
00882,14.77
2406,26.45
8936,51.7
8070,49.25
8131,58.9
4707,26.75
6188,61.4
00997A,10.81
4551,155.5
3236,43.6
3380,30.2
00931B,12.84
2727,227.0
5498,50.8
00996A,13.67
1736,125.5
2501,21.15
00740B,36.79
3685,35.3
6613,264.0
6782,231.5
9917,106.0
3289,131.5
2030,22.7
3209,45.35
009802,19.79
6261,76.3
4772,240.0
00930,23.92
00887,15.67
3689,108.0
1563,73.7
4760,260.0
2612,62.3
5534,72.9
2905,18.55
4542,253.5
00981D,10.18
6716,118.5
3021,27.1
00655L,32.19
3434,30.95
8050,57.5
1608,36.0
3645,68.5
4770,220.5
009824,9.98
009819,9.42
1569,50.7
5309,50.5
1536,46.25
6753,132.5
6719,180.5
00913,48.51
4953,121.0
3592,222.5
2543,38.7
4912,90.9
6023,85.0
4807,31.0
4960,20.0
1909,10.15
2401,24.4
3088,124.0
4147,60.8
6140,21.25
3526,266.0
2206,63.6
2033,28.05
9939,125.5
6925,57.8
00853B,26.5
9938,37.9
1773,159.0
00950B,13.42
00850,91.5
5234,282.5
7712,154.0
2838,21.55
1440,12.9
6757,53.0
2402,54.5
4771,206.0
00938,26.87
00676R,5.5
6469,63.7
3048,50.4
1904,24.4
6163,40.5
00985A,22.54
2009,38.8
00988B,19.27
4541,56.8
5871A,99.9
3479,129.0
2434,61.5
00875,56.9
6589,48.95
6175,69.3
00984A,15.24
