# 收盤價 MD
# T:2026-09-03 07:18

## [CLOSE]
```csv
代號,收盤價
2454,4275.0
2330,2385.0
1303,237.5
2408,518.0
6669,2610.0
3037,973.0
2308,1730.0
3105,469.5
2455,542.0
2327,540.0
2303,126.0
3008,7810.0
1815,131.0
3231,185.5
3324,1435.0
2344,179.0
2301,315.0
4958,507.0
3189,847.0
5274,17725.0
3081,3395.0
3711,589.0
3017,3310.0
8046,1200.0
2449,270.5
6442,1795.0
3481,49.05
2426,104.5
6182,110.5
2383,5445.0
2313,249.0
2345,2140.0
8039,313.5
3653,5770.0
3665,2170.0
2368,1175.0
2317,251.0
6488,967.0
00631L,35.93
6515,7050.0
6213,536.0
0050,106.8
3443,5895.0
3450,602.0
3661,4200.0
8299,2065.0
6510,3435.0
8996,1265.0
4971,669.0
2464,202.0
2059,13865.0
00981A,29.73
3363,780.0
6451,500.0
2492,293.0
3036,187.0
6223,5290.0
6770,70.4
6274,1410.0
3026,686.0
1326,72.8
6446,1305.0
7769,5710.0
3529,2395.0
3019,157.5
4908,218.0
2357,1010.0
00918,35.48
1301,66.8
8111,76.4
6505,78.7
00919,32.35
2887,41.2
6217,195.5
8021,459.0
2324,39.7
6830,598.0
2382,337.0
2409,26.4
2481,148.0
00685L,11.89
6531,957.0
4991,530.0
6139,721.0
6147,182.5
6209,84.3
3293,708.0
6257,216.0
2489,42.25
8358,503.0
2882,109.0
6187,1340.0
3006,281.5
3605,127.0
6415,426.0
6173,260.5
3406,1050.0
6805,2110.0
2603,234.5
2609,57.5
2360,1975.0
2615,112.0
2337,123.0
2891,66.6
6239,278.0
2404,1025.0
00406A,9.64
2395,692.0
3167,774.0
6526,646.0
2379,744.0
6197,313.5
1717,80.8
1802,60.8
2486,288.0
2884,40.5
2881,143.5
3533,1705.0
0056,55.1
6789,483.5
3141,99.5
2049,352.0
5289,1420.0
2376,361.5
4576,242.0
3042,180.0
00632R,9.91
3034,543.0
8150,90.2
2883,35.5
3491,1445.0
3234,211.0
2886,49.0
4979,624.0
4967,278.0
6727,580.0
6640,1210.0
3374,419.5
3715,124.5
5483,179.0
2412,137.5
2356,66.6
3260,412.5
3532,386.0
8210,968.0
00403A,10.27
7711,610.0
2892,36.25
3693,642.0
3680,520.0
009816,15.65
5351,117.0
3044,502.0
2351,229.0
2890,42.15
2377,155.0
3706,94.7
3264,233.5
1519,741.0
00878,33.65
2421,168.0
6271,223.0
4931,250.0
3376,208.0
5347,149.5
1101,24.8
00881,50.0
3211,392.0
6683,1460.0
4977,176.5
5536,823.0
2354,66.3
4904,102.5
00935,57.8
1714,17.35
2880,43.0
2885,66.7
5880,26.3
5475,190.0
00991A,17.93
6291,440.0
3504,94.3
2465,105.0
5269,1460.0
00830,79.65
1597,148.5
6530,101.0
009802,19.75
00673R,11.37
4763,51.5
6919,88.1
6584,658.0
00708L,77.85
2834,17.25
3702,102.0
2618,42.15
2451,296.5
00715L,57.0
8069,154.5
8033,181.0
2634,66.4
2801,25.7
3023,330.0
5876,45.35
6426,257.0
2812,19.4
1560,704.0
3583,757.0
00929,29.43
00927,36.69
0052,62.05
1605,38.2
5439,269.5
6285,245.5
00687B,26.97
3045,116.0
1409,25.35
2484,74.5
7751,1555.0
3131,2405.0
00712,8.61
1590,1395.0
8086,117.0
8112,91.2
00992A,18.68
3498,201.5
2359,144.5
6715,341.5
6290,256.5
3455,256.5
00663L,104.25
3055,142.0
4938,91.7
8028,245.5
00937B,14.23
00988A,15.71
00662,118.4
00896,28.3
2353,32.15
6781,1115.0
7610,1520.0
1312,15.25
1216,76.6
6269,71.7
5425,92.5
5871,113.0
2467,609.0
8103,122.0
4749,787.0
1503,206.0
3441,139.5
4976,41.55
2474,211.0
3035,184.5
6672,272.0
6207,110.5
3163,766.0
3090,168.5
6937,293.5
1709,35.0
8042,111.0
3587,265.0
3362,210.0
00891,34.79
6278,199.5
3563,710.0
2845,13.0
00400A,15.17
00637L,19.75
6831,609.0
7788,316.0
00405A,8.78
2002,19.05
3624,89.0
6196,492.0
006208,245.2
7795,515.0
1504,72.6
00679B,25.65
7750,2300.0
00982A,23.0
6933,331.0
8027,182.0
6691,607.0
2491,50.0
6834,92.2
5386,278.0
2388,76.4
4542,297.5
00953B,9.56
3135,176.0
2027,49.55
00675L,315.35
2889,16.0
4939,88.9
5443,112.0
6533,263.5
6668,44.0
8271,225.5
6438,159.5
2312,33.15
1785,102.0
2610,20.45
6190,69.1
8261,177.0
2493,184.0
3016,100.0
2374,70.1
00961,13.37
2201,31.95
009829,10.2
00713,62.8
3030,288.5
2428,250.5
5284,355.0
00635U,44.59
2645,176.0
6414,391.5
00646,76.25
1727,94.2
4906,36.95
4927,42.3
3673,67.0
5340,82.1
2606,75.1
4949,82.3
3169,110.0
1513,165.0
00407A,9.78
6409,1005.0
2402,59.3
2441,116.0
6620,95.4
3149,63.4
3714,62.0
00922,41.78
5434,535.0
00795B,25.75
2221,83.2
6829,243.0
2472,217.0
2605,35.05
2385,109.5
4966,579.0
5904,73.4
00738U,50.75
1102,35.0
2316,161.5
6141,54.8
1773,163.5
3380,30.05
2912,217.0
2498,41.65
6658,183.0
2332,19.3
2637,96.3
4764,240.0
8064,104.5
3515,228.5
6224,85.0
6166,117.0
6226,34.15
5285,89.6
3339,46.7
6907,191.0
3357,209.0
00990A,14.77
3013,89.5
2347,87.4
7828,1760.0
6944,709.0
6706,126.0
6588,107.5
3094,41.2
3645,72.5
00900,19.61
6116,14.15
2375,125.0
7734,2795.0
3265,178.5
2478,121.0
3221,51.0
6449,225.0
6548,73.9
1477,196.0
3701,43.25
009826,10.04
6472,422.5
6547,61.5
6664,362.5
2542,47.95
6693,173.0
9904,24.75
3490,46.05
2466,104.0
3596,161.0
8096,109.5
8431,59.8
8043,142.0
1514,103.0
00411A,9.5
00404A,9.8
8155,369.0
6218,43.55
6456,70.1
4989,63.8
3543,48.65
1718,10.8
4961,169.5
2399,46.1
00947,37.73
2371,28.2
3689,118.5
00888,33.54
3413,285.5
00642U,30.08
00892,40.75
4919,120.5
4772,256.0
1402,29.1
2855,49.6
00696B,27.92
00725B,33.78
6282,44.5
3005,116.0
2436,66.9
00984D,9.91
2434,65.0
5328,61.5
6005,32.0
6176,92.3
5607,55.6
8240,50.7
9941,82.6
00923,39.71
8932,90.8
4912,103.0
00994A,16.98
6617,120.5
5388,76.8
6525,137.0
7744,540.0
6121,404.0
3576,17.3
2103,28.3
009803,21.97
6214,183.0
6613,264.5
1476,314.0
4916,100.5
00751B,30.21
1314,8.22
2006,82.7
6538,248.5
6739,1120.0
6138,288.0
5314,34.2
2328,47.8
3049,13.05
6016,20.95
3518,31.9
4540,59.5
4551,166.0
2458,137.0
1708,50.6
8464,372.5
1711,43.4
2392,45.5
00670L,193.85
3707,62.2
6491,394.0
3289,141.5
00980A,24.77
2476,125.5
5291,70.7
00859B,41.05
3312,56.0
00724B,32.59
2367,44.05
4915,60.3
00933B,15.47
00633L,47.96
00764B,26.86
2061,56.0
00410A,12.31
2305,30.05
3545,52.5
4760,272.5
5471,61.0
4973,151.5
3209,47.5
3305,112.0
1608,36.8
9958,90.3
3219,90.4
00735,102.35
6913,153.0
5498,55.8
3228,179.0
00997A,10.87
5292,234.5
6127,48.6
8016,295.0
6279,127.0
2897,10.7
9105,8.48
6215,100.0
2515,12.1
1795,184.0
6782,239.0
6788,368.0
9921,101.5
3033,44.65
4739,85.4
00985A,23.17
1440,14.2
2915,57.2
00999A,11.54
4722,201.5
6265,55.8
6191,83.5
2352,28.7
009821,14.79
6753,139.0
4903,38.05
2363,51.0
5321,77.0
4768,298.0
00934,30.61
1319,83.0
3059,39.6
00940,12.9
9945,28.3
2536,20.35
00720B,31.71
2439,78.3
00753L,9.16
3675,274.0
4541,64.8
2851,46.15
8454,243.0
1722,44.6
00757,138.25
00722B,34.06
2369,31.5
2630,50.8
6670,278.5
8110,44.7
8070,50.6
5864,35.9
6443,25.1
6263,173.0
7749,370.0
7799,360.0
3227,195.5
6405,42.25
1712,41.05
8436,114.0
3617,249.0
00998A,17.71
2406,27.9
4510,45.8
2393,66.0
4577,88.8
9910,68.0
4956,36.2
3592,226.5
00915,32.36
2207,517.0
00951,16.37
00401A,14.06
00865B,48.75
2105,30.95
6517,70.8
3483,79.6
3022,90.4
00939,23.38
6532,97.0
1808,35.45
6643,416.0
1736,126.0
1609,37.5
2302,42.75
5608,16.5
4580,83.3
6962,32.3
3388,91.0
00909,44.3
8109,136.0
00665L,9.27
1215,109.5
9914,81.0
7792,308.0
2233,171.0
6870,292.0
2419,27.9
6205,68.3
8926,56.3
00887,15.89
6284,78.0
2597,170.0
2009,39.9
8054,83.2
7822,930.0
6719,193.0
6679,204.5
009823,10.34
00882,14.95
1309,13.8
6199,95.2
4707,31.45
1710,16.35
8422,26.65
