# 收盤價 MD
# T:2026-09-03 09:05

## [CLOSE]
```csv
代號,收盤價
9940,20.2
00859B,41.05
2330,2385.0
2408,531.0
2454,4355.0
3037,983.0
2344,184.0
3006,306.5
3481,51.9
6669,2610.0
1303,239.0
3189,846.0
6442,1875.0
8046,1185.0
3017,3480.0
4958,511.0
2301,322.0
2327,541.0
2308,1745.0
2486,290.0
3105,479.0
2455,541.0
3019,156.5
2464,222.0
3363,838.0
6451,496.5
8039,312.0
1815,136.0
6531,986.0
2481,156.0
3081,3445.0
2449,274.5
1326,75.6
3711,599.0
3231,188.5
6510,3375.0
8996,1300.0
3665,2145.0
3443,5880.0
2303,126.5
8299,2115.0
2337,126.5
2313,250.5
6488,963.0
6770,71.6
3661,4210.0
6213,544.0
6182,112.0
2360,2075.0
2368,1170.0
2492,294.0
2059,13660.0
2345,2145.0
3529,2385.0
2426,105.0
2383,5465.0
4991,541.0
3026,690.0
6223,5265.0
6683,1400.0
8021,456.5
6830,636.0
2887,42.4
4971,683.0
2377,159.5
2317,253.0
5483,185.0
5274,18450.0
3008,7825.0
6274,1415.0
4576,242.5
6291,483.0
6217,215.0
3260,418.5
6209,83.8
00918,35.7
1301,68.8
6173,256.5
0050,106.85
3036,192.0
00631L,36.1
7769,5790.0
2834,17.1
2376,367.0
2884,41.15
6446,1325.0
2609,58.2
3167,783.0
2357,1015.0
3653,5750.0
2465,103.0
6147,183.0
3055,140.5
3406,1065.0
2359,149.0
6187,1360.0
00981A,29.88
3714,66.1
1802,62.6
2606,79.0
6505,77.5
2395,707.0
3234,205.0
2891,66.6
0056,55.6
2882,110.5
2489,42.8
6515,7160.0
6257,216.0
3455,266.5
6415,429.0
3141,98.5
3498,221.5
2412,137.0
2409,27.05
2379,735.0
2603,236.5
6640,1205.0
2615,114.5
2324,40.15
6239,282.0
3693,664.0
3045,115.5
2382,339.0
2637,101.5
00919,32.48
4967,282.5
5289,1455.0
3680,530.0
3532,393.0
2883,36.0
2356,67.8
2049,359.5
7711,600.0
009828,9.69
6207,114.5
6805,2165.0
6224,89.8
2605,36.2
3324,1435.0
6727,589.0
8358,514.0
1717,81.1
1597,153.0
2421,171.5
6789,484.0
3211,394.0
3504,92.6
3042,178.5
1312,16.0
2890,42.4
4976,40.3
7788,321.5
5425,94.3
4977,183.0
3034,543.0
8150,91.7
4931,253.0
8042,109.0
2419,28.65
6933,317.0
3491,1430.0
6116,14.75
00685L,11.96
00878,33.87
8040,80.9
5386,286.5
3689,123.0
2885,67.1
3023,333.5
3605,128.0
5475,209.0
2351,231.0
6271,226.5
3149,63.0
6486,88.2
6139,730.0
2892,36.6
8027,187.0
2354,66.8
3264,235.0
2451,299.5
6538,273.0
5285,88.5
2886,49.25
3376,208.0
5536,830.0
8111,76.3
4540,62.5
2002,19.15
00696B,28.01
7610,1575.0
4979,630.0
3706,94.7
3441,143.5
3044,502.0
1560,722.0
3131,2450.0
2353,32.55
2812,19.5
00406A,9.7
6664,382.5
1785,104.0
00708L,80.65
8096,114.5
3533,1705.0
2880,43.0
3702,103.0
7751,1570.0
3715,125.5
6285,246.5
1519,744.0
4763,51.3
3163,780.0
1590,1385.0
2801,25.95
4938,92.1
00632R,9.87
4908,225.5
2634,66.8
3380,30.4
00403A,10.33
6290,260.5
6526,650.0
5608,17.7
009816,15.72
3293,707.0
2385,109.5
6584,672.0
6269,71.9
1709,35.8
6706,132.0
3563,710.0
2404,1040.0
8210,983.0
6530,101.5
2618,42.3
00947,38.16
2612,65.6
3312,55.9
2221,87.7
3035,185.5
1595,72.1
8086,118.5
2484,74.6
3374,421.0
00405A,8.83
00980A,24.9
8069,155.0
6196,502.0
8261,181.0
3450,605.0
6125,53.8
5347,150.5
00679B,25.72
6957,218.0
4904,102.5
2312,33.4
3004,126.5
5880,26.35
4973,155.5
2392,47.45
8431,62.5
8112,91.9
00915,32.43
3583,770.0
2434,71.5
1409,27.85
8043,143.0
2491,51.5
2498,41.2
6426,262.5
8064,107.0
3090,169.5
1605,38.55
8033,184.5
2889,16.05
4526,32.2
3673,68.4
6215,102.5
6672,275.5
3624,89.2
3162,77.6
5269,1460.0
6693,179.0
7795,527.0
6781,1125.0
00929,29.48
8109,135.0
3265,177.5
6907,192.5
2467,618.0
2352,29.25
2201,31.4
8103,122.0
3518,34.5
6715,339.5
2374,70.9
8271,229.5
6456,72.0
5904,72.7
2617,32.85
00670L,194.7
3016,101.0
4989,64.8
009802,20.01
00913,47.84
00992A,18.8
2641,18.55
00715L,56.65
00407A,9.85
3030,294.5
5439,270.5
2375,125.0
1504,72.8
2472,218.5
00940,12.94
00400A,15.23
2332,19.75
4919,122.0
2845,13.15
6278,200.5
00663L,104.65
1216,76.2
0052,62.2
6409,1015.0
3010,131.0
00673R,11.34
6414,394.0
6279,121.5
3587,265.5
6834,92.6
4542,297.0
00935,58.35
8028,247.5
2388,76.2
00830,144.0
3515,232.0
00675L,317.0
9105,8.71
00635U,45.36
2546,105.5
6620,95.0
1101,24.85
2466,103.5
6226,35.75
6691,607.0
00937B,14.27
1714,17.5
6937,293.5
3339,45.25
00409A,9.73
00988A,15.74
2316,162.5
6438,162.5
6166,120.0
4939,89.5
00642U,30.1
4912,104.5
3490,46.2
1503,207.0
009827,9.99
5340,84.4
5328,61.8
6668,43.35
00923,39.85
3645,72.9
00961,13.43
3357,211.0
3135,178.5
4749,795.0
00662,118.7
4764,239.5
6016,21.6
4927,42.4
6831,617.0
00881,50.1
3543,47.4
1440,14.6
6547,61.9
2851,47.1
3094,41.9
6265,57.1
2478,121.0
3675,281.0
4966,580.0
00637L,19.84
1708,51.7
6588,108.0
5284,349.0
5443,114.0
6141,55.2
00738U,51.95
00946,15.62
00900,19.7
2061,56.7
5607,56.3
4949,81.2
5434,538.0
5291,71.6
00982A,23.15
4961,167.5
6533,266.0
6548,74.0
4743,45.4
6176,92.4
1722,44.9
00955,16.11
2610,20.5
1513,165.5
1477,197.0
7828,1765.0
006208,244.95
00712,8.64
3483,81.3
3219,93.3
00665L,9.43
00953B,9.57
3564,52.9
7734,2885.0
1623,234.0
8110,45.65
3354,25.7
3049,13.35
1718,10.95
00657,75.4
8114,199.0
00994A,17.06
4915,60.8
6535,83.3
00939,23.46
00778B,33.06
2645,176.0
6272,29.0
2493,189.5
2204,54.9
7402,107.5
6122,50.5
6579,150.0
6829,244.0
00938,25.93
3545,52.4
3362,212.0
2428,251.5
4956,37.05
00896,28.54
00751B,30.29
6913,155.5
2474,211.0
4585,299.5
2436,67.1
5388,77.5
6472,423.5
4510,46.45
1795,183.5
3591,23.65
7750,2300.0
6854,101.0
6218,43.95
3221,50.8
4566,66.6
3707,62.9
1319,82.8
2362,49.7
8155,368.5
6449,226.5
1727,94.8
3576,17.35
2495,37.55
2441,117.0
6658,186.5
3005,116.5
2305,30.4
1314,8.3
3413,285.5
00713,62.9
4541,66.1
6146,188.0
6890,170.5
3535,91.3
009829,10.29
1710,16.65
9904,24.75
4772,256.5
009803,22.06
2323,11.15
2369,32.05
3013,89.9
8234,69.5
2103,28.6
2912,217.0
00894,47.52
00410A,12.36
1536,50.5
2542,48.15
1711,43.9
2207,519.0
5871,113.0
3048,54.0
1773,166.0
2630,51.1
3169,109.0
00411A,9.59
7714,164.0
2402,59.1
8131,63.4
6742,48.5
4583,484.0
4906,37.3
3580,90.7
4903,38.65
5864,36.5
00927,36.81
6121,403.5
00763U,34.52
6525,139.5
2365,30.5
8227,162.5
2340,34.8
00404A,9.83
9958,90.5
5876,45.35
8105,15.95
00985A,23.3
2371,28.4
6613,263.5
3060,27.05
00731,97.25
4722,207.0
3701,43.1
2363,51.3
2399,46.6
2636,71.0
2881A,61.7
009817,8.93
4577,91.0
6005,32.35
6782,238.5
6127,49.05
2347,87.3
2439,78.6
2485,42.95
6840,95.2
8436,114.5
2105,30.9
2027,49.6
009819,9.61
6263,173.0
6199,95.3
1402,29.05
00687B,27.06
2328,48.25
00733,67.45
9945,28.25
1558,107.0
6282,44.95
6206,140.5
3704,42.75
1514,103.5
2897,10.75
6133,24.7
6491,391.0
5490,27.25
4551,168.0
5498,56.9
6188,68.8
00962,15.63
6423,87.4
00882,15.0
5392,45.45
8054,84.0
6498,78.7
8081,259.0
00753L,9.29
6679,208.0
3059,40.15
00795B,25.82
6190,69.4
2342,40.4
1210,52.3
3066,26.5
00633L,48.15
6485,62.0
009824,10.0
00990A,14.86
3617,250.0
6153,18.3
8240,49.95
2367,44.3
2438,21.5
6443,25.4
2302,43.1
5314,34.3
6191,83.9
1102,34.8
6120,13.0
2613,23.2
6617,118.5
2646,20.7
00650L,17.0
1909,11.35
3305,113.0
3596,162.0
2915,57.4
4721,74.0
2006,82.5
6944,709.0
3438,67.9
6419,159.5
8383,66.1
1905,13.95
8374,83.0
3691,102.5
4916,101.0
2820,16.8
6237,37.2
2723,83.0
2838,20.55
3388,91.2
1304,12.9
6651,150.5
9941,82.4
8084,47.8
7799,361.0
5243,92.8
1707,91.8
6138,290.5
2009,39.8
8070,50.8
8932,91.8
2233,173.0
6405,41.4
6175,71.7
1723,87.5
00904,40.8
7777,39.2
4768,305.0
1308,14.85
3209,48.2
4569,178.5
2458,137.5
5471,61.5
8215,26.4
6243,40.65
00987D,9.96
9910,67.9
00996A,14.13
6962,32.45
6204,89.4
00934,30.69
1215,109.0
3289,143.5
6108,24.1
1309,14.05
1476,315.0
6903,312.5
1515,32.15
1810,24.85
8454,244.0
8016,298.0
3630,27.05
00998A,17.89
2476,126.0
9921,101.5
1310,9.12
6023,86.8
7749,371.0
1444,7.36
1434,18.45
4960,22.1
6015,16.6
8182,40.5
2597,170.0
6716,127.0
2601,6.98
6517,71.7
5321,77.3
00912,35.1
2393,66.1
1809,38.6
00720B,31.77
3356,63.4
6117,66.5
3236,44.25
3663,64.2
2329,43.65
4707,31.85
2401,25.7
6756,104.5
3033,44.85
1305,12.7
6670,280.5
2211,83.1
2033,25.2
6112,46.35
1608,37.05
2355,44.15
009805,14.78
2030,22.85
2633,26.15
6983,358.0
00993A,13.56
6872,16.9
6643,419.0
00999A,11.57
5426,29.3
00719B,31.03
00984A,15.83
00952,18.52
3147,222.0
3022,90.5
3014,132.0
3484,48.05
4739,85.5
4534,30.15
6244,23.85
6719,194.0
3029,113.0
9951,50.5
3003,68.5
00997A,10.87
6412,79.4
00995A,17.46
1313,12.25
6202,59.2
9911,82.3
1736,126.0
1609,37.6
3540,24.1
6753,140.5
6168,28.1
4532,24.1
9914,80.9
4303,36.3
4736,127.0
1808,35.5
1907,30.45
6227,117.5
1904,24.8
6435,247.5
3028,66.3
3581,114.0
6568,142.0
3078,47.8
6532,98.4
2397,64.1
6235,40.15
8422,26.75
2887I,9.52
3294,30.7
3228,180.0
00674R,27.83
6477,35.85
1229,41.95
00951,16.56
6605,138.5
2331,20.05
2349,11.2
5225,61.4
2338,39.6
8222,38.35
4571,161.0
5508,53.6
8088,45.0
2707,179.0
00653L,46.01
6425,64.8
009821,14.98
00933B,15.5
5522,63.3
4766,346.0
2504,31.45
3479,125.0
6603,25.45
00401A,14.16
4760,273.0
00722B,34.12
8050,56.8
2816,39.4
00693U,23.81
00930,24.1
5309,53.0
4580,82.6
4968,93.6
2850,161.5
00664R,1.6
6214,183.0
3712,21.5
1733,32.2
3550,23.95
2406,28.2
6205,68.9
3229,51.1
3546,72.1
3152,244.5
4974,71.4
2539,35.2
3703,19.6
6179,29.75
4716,17.45
2425,38.15
3594,49.2
00402A,9.36
3227,196.5
2836,12.15
6284,78.5
00706L,19.06
2881,144.5
3051,22.65
2431,9.9
2243,43.9
6177,47.55
00987A,16.76
6155,56.8
00680L,6.38
5493,86.3
6739,1120.0
3548,85.8
6788,371.0
3527,52.5
2855,49.85
3551,182.5
6546,64.2
7712,154.0
2457,23.35
3317,63.1
6411,81.8
2442,19.3
6261,81.4
5521,10.6
8354,17.7
1604,23.65
3114,32.5
2540,46.9
00735,102.95
3062,21.25
4147,63.5
2104,10.55
3430,111.5
00988B,19.49
6104,98.7
00954,17.59
8341,75.6
6499,75.0
009813,11.21
6469,68.0
6861,190.0
1712,41.0
00936,21.74
5209,155.0
2614,18.4
2520,36.05
7855,42.8
8091,222.0
2206,63.3
3537,55.3
2536,20.0
1104,27.25
4771,217.5
3416,173.5
5283,54.1
2883B,8.2
00910,56.8
8926,56.7
7722,282.5
4561,44.55
00646,76.6
2072,140.0
6494,56.0
6922,209.5
4536,165.0
2515,12.15
00877,36.75
2611,14.95
00981B,9.14
3555,198.0
6945,99.0
1447,7.04
4128,14.85
00701,39.15
2062,19.55
4563,46.0
2483,35.35
9933,40.8
2108,30.8
2543,38.45
00876,84.5
1617,19.2
2034,20.8
3088,124.5
00850,92.25
3694,51.8
00968B,8.93
6885,24.05
4746,47.65
00928,33.5
4167,19.4
2832,58.0
00757,138.7
6150,62.9
3046,57.1
00984D,9.92
3592,227.5
4123,30.9
00956,13.58
6550,10.6
2905,17.85
8942,42.3
1720,56.3
2070,67.3
3444,83.8
8099,60.9
8104,31.65
6509,46.95
6208,81.8
00887,15.94
4137,81.2
00640L,108.05
4770,215.5
3015,53.7
6245,79.0
4590,90.2
3716,34.85
7780,16.85
9938,41.4
