# 收盤價 MD
# T:2026-09-15 09:23

## [CLOSE]
```csv
代號,收盤價
2308,1695.0
2330,2390.0
6147,205.5
2454,4560.0
3105,473.0
3008,5970.0
2303,140.5
2408,470.5
8358,508.0
1303,226.5
2481,160.5
6173,300.5
2327,549.0
6488,950.0
2344,161.0
6274,1435.0
4958,484.0
3443,6285.0
3653,5580.0
3406,933.0
2492,309.0
3037,978.0
3711,606.0
8046,1085.0
2409,28.4
6182,109.5
8039,281.0
2301,280.5
3081,2720.0
3324,1335.0
6770,69.7
2305,46.9
3026,737.0
3624,126.5
2351,251.0
2368,1010.0
2383,5350.0
3189,803.0
3532,438.5
6683,1465.0
2345,1890.0
6226,35.2
3016,117.0
3017,3280.0
6213,521.0
6706,146.5
00919,32.85
3481,47.85
2891,69.0
0050,106.8
3441,162.0
6669,2280.0
1815,118.5
2317,249.0
3260,388.5
6510,3335.0
3665,1950.0
3661,3555.0
3374,424.0
8299,1920.0
2395,691.0
6223,5720.0
00631L,35.45
2426,93.2
5483,182.5
3450,519.0
3034,534.0
6446,1205.0
7769,6245.0
6239,278.0
3231,182.5
7711,450.0
6271,230.5
2382,335.0
3529,2645.0
3006,267.0
3167,816.0
3363,669.0
6531,945.0
6112,51.1
00981A,29.37
00918,35.5
2881,152.0
2313,222.5
2887,43.4
009816,15.82
2412,143.0
2883,38.35
1326,65.4
2338,48.95
6861,231.5
7610,1700.0
2059,11975.0
2337,115.5
3693,674.0
5347,155.5
6442,1580.0
1528,24.9
2049,323.5
0056,55.15
2882,111.5
3029,118.5
2449,260.5
2464,179.5
2357,919.0
2360,2135.0
3491,1405.0
6187,1250.0
4908,229.0
2884,45.85
2441,119.5
3044,503.0
3675,281.5
6515,6650.0
00685L,11.7
6139,720.0
2468,43.25
4991,443.5
1301,61.7
7765,254.0
5425,90.9
2404,1045.0
2801,28.1
2603,235.0
3042,181.0
4967,268.5
2885,69.4
3264,228.5
6805,2165.0
00632R,9.98
00881,49.7
3704,41.7
6426,311.0
3045,122.5
00878,34.24
6415,413.0
2890,44.4
6715,364.5
6505,81.1
2324,37.7
6672,295.0
6690,196.5
2892,40.0
5289,1280.0
4939,82.3
2379,710.0
00830,79.55
2609,59.1
2834,18.25
2615,112.0
8996,1260.0
4971,546.0
8064,114.0
8150,87.4
6834,99.5
3229,63.7
00403A,10.12
7828,1990.0
2489,39.2
5475,177.0
5314,34.2
6148,37.5
5351,105.0
3605,125.5
5386,294.5
6217,164.5
00991A,17.18
6290,262.0
6689,72.0
5880,27.35
6933,292.5
7788,288.0
6451,414.0
00679B,25.41
00406A,9.42
2886,52.0
1519,700.0
2880,46.6
00929,28.62
006208,244.4
6416,120.0
00923,39.67
5536,860.0
6291,463.5
1560,744.0
6811,250.0
3036,194.0
00961,13.37
3376,180.0
3211,363.0
8042,112.5
6257,214.0
3141,92.2
1709,35.8
3706,78.1
3680,504.0
00708L,77.25
2486,236.5
00935,58.2
6830,552.0
4915,64.2
6214,190.5
5871,113.5
8227,245.0
8261,169.5
2356,62.2
5274,18090.0
6179,34.9
6727,491.0
7795,487.5
3498,187.0
2542,44.9
00715L,69.95
6739,1100.0
1216,74.3
2377,150.0
2376,345.5
6196,525.0
00953B,9.55
7734,2470.0
3234,171.0
1802,57.5
3702,107.0
3163,652.0
3090,163.5
0052,61.9
4977,164.5
3362,169.0
4931,231.5
4576,230.5
8069,148.5
2342,40.15
00896,27.95
7717,493.0
3055,162.0
6285,224.0
6209,76.0
2221,91.1
3715,122.5
3707,61.6
2634,63.1
3718,59.6
4763,48.45
7714,186.0
2002,18.75
8210,891.0
6245,86.2
00937B,14.16
2359,128.0
2455,530.0
5269,1360.0
1597,135.5
3583,684.0
00637L,19.41
00400A,14.66
3094,43.05
2354,64.4
00663L,102.25
8111,71.0
00927,37.07
2889,16.75
8028,223.5
00712,8.3
6829,210.0
3533,1585.0
2388,71.6
8033,171.0
00687B,26.74
3147,228.5
00757,139.4
2451,274.0
2027,45.45
4722,192.0
2467,531.0
2618,42.0
6005,31.35
2812,19.3
6199,99.3
00982A,22.33
2375,120.5
00992A,17.65
6176,92.8
6620,130.5
5340,84.8
6949,55.2
4961,177.0
4556,89.9
2421,162.5
8086,108.5
8043,134.5
2484,68.0
00988A,15.81
2413,50.3
3580,90.0
4938,89.9
1605,36.8
6640,1145.0
8431,61.6
6472,408.5
00891,34.99
