# 收盤價 MD
# T:2026-09-15 05:45

## [CLOSE]
```csv
代號,收盤價
2330,2380.0
2454,4560.0
2408,473.0
2344,160.0
2303,142.5
8358,518.0
3443,6400.0
3008,5995.0
2308,1620.0
1303,234.0
3037,970.0
2327,545.0
6274,1410.0
2481,159.0
4958,489.5
2409,28.7
0050,106.9
3189,798.0
2492,305.5
6147,189.0
8996,1235.0
6173,293.5
3374,429.5
3081,2745.0
3017,3310.0
3661,3590.0
6770,70.7
8046,1055.0
1815,120.0
2383,5345.0
3231,181.0
6446,1190.0
3105,444.0
3450,509.0
3026,731.0
00631L,35.4
3441,160.5
3711,612.0
3653,5820.0
3624,124.0
2345,1875.0
2317,248.5
6213,515.0
3481,47.65
8227,241.0
2368,1020.0
3406,954.0
00919,32.89
3665,1955.0
8039,274.0
8299,1935.0
00981A,29.32
5274,17980.0
6669,2270.0
3006,270.5
6488,900.0
2351,257.0
3529,2730.0
6706,151.0
2301,277.5
3167,810.0
2603,237.0
6223,5595.0
2449,261.5
2049,323.5
2313,221.0
6510,3375.0
2881,154.0
7769,6305.0
2426,93.3
6442,1590.0
00918,35.51
2412,142.5
2338,48.0
2382,332.5
2059,11990.0
2337,116.0
2357,934.0
00685L,11.68
6531,962.0
2360,2140.0
3016,112.5
6187,1225.0
3532,416.0
6505,82.8
6515,6600.0
2882,112.5
3029,116.5
2884,46.35
3491,1390.0
6805,2165.0
3034,556.0
2891,68.1
6239,271.5
2379,713.0
1326,67.6
6182,103.5
00406A,9.39
2887,43.55
2609,59.3
3260,398.0
2395,670.0
2464,175.5
2883,38.8
2801,28.55
4991,445.0
7610,1780.0
2305,45.15
2324,37.9
1301,62.9
3376,181.0
2615,113.0
00403A,10.09
1560,753.0
2892,39.85
3363,675.0
6426,312.0
3044,510.0
2890,44.8
009816,15.82
00632R,9.97
2834,18.35
3693,688.0
5483,176.5
6415,414.0
00881,49.54
00929,28.6
5425,90.1
00878,34.23
3264,227.5
1519,697.0
2886,52.5
3324,1305.0
5289,1290.0
3533,1590.0
6226,33.0
3229,66.9
3042,178.0
2377,150.5
5347,159.5
3605,126.5
2885,70.8
2376,344.0
6291,466.5
0056,55.4
2404,1015.0
8150,86.6
6683,1335.0
6451,417.5
4908,225.5
7717,487.0
6139,703.0
2455,535.0
3362,168.5
6830,556.0
7750,1960.0
1101,23.9
4915,64.6
3211,362.5
2486,234.5
5386,302.0
2489,39.3
6196,520.0
5475,176.0
00991A,17.14
4939,80.6
3163,656.0
6834,98.2
6672,294.5
4971,531.0
4967,273.5
7734,2485.0
1216,74.6
8210,886.0
6209,76.5
1802,57.8
5871,113.5
0052,61.9
5351,106.0
4576,228.0
3706,78.7
3036,192.0
6257,210.0
8096,86.0
009803,21.64
3702,107.0
00712,8.32
00715L,70.5
6227,127.0
5880,27.45
00937B,14.13
2634,63.8
3234,174.0
6933,305.5
3680,507.0
8064,113.5
1504,70.3
8069,145.5
1717,69.2
6739,1145.0
6727,488.5
7795,491.0
4931,231.5
1590,1270.0
1605,37.0
3045,121.5
00992A,17.62
2354,64.7
6112,50.6
00663L,102.25
00673R,10.04
8033,174.0
00935,58.0
3090,163.5
6176,93.6
4979,547.0
3293,699.0
3675,284.5
2880,46.3
00896,27.83
7828,1950.0
2356,61.7
8028,221.5
3035,172.5
3131,2310.0
7788,282.0
5269,1365.0
3498,190.5
5340,84.3
2221,89.9
2467,537.0
3583,683.0
6214,187.5
009828,9.35
6285,222.0
6179,34.4
2002,18.8
2618,42.05
6271,220.0
00400A,14.72
5876,49.9
8261,166.5
1503,197.0
6949,55.8
3019,134.0
4938,90.2
5314,37.95
00891,35.01
2027,45.75
00679B,25.28
2451,274.0
6640,1130.0
2542,45.7
6831,541.0
00961,13.4
2637,101.0
006208,244.65
6290,260.0
5434,539.0
1709,36.05
00927,37.1
2353,31.4
1528,23.3
8112,83.6
8042,111.0
7751,1405.0
00982A,22.17
4763,49.35
8021,442.5
4919,113.0
2421,163.0
3094,44.0
6547,58.1
6116,13.85
3718,60.9
6789,436.0
00405A,8.56
00953B,9.53
