# 收盤價 MD
# T:2026-09-02 09:00

## [CLOSE]
```csv
代號,收盤價
00400A,15.37
00401A,14.19
00402A,9.51
00403A,10.45
00404A,9.86
00405A,8.93
00406A,9.96
00407A,9.99
00408A,10.65
00410A,12.57
00411A,9.69
0050,108.45
0051,147.45
0052,63.05
0053,246.35
0054,28.25
0055,46.6
0056,54.85
0057,322.65
0058,43.71
0059,42.85
0061,24.47
006201,45.53
006203,197.5
006204,234.0
006205,40.87
006206,38.05
006207,32.42
006208,248.35
00625K,8.77
00631L,37.26
00632R,9.73
00633L,49.23
00634R,3.1
00635U,45.8
00636,27.8
00636K,8.77
00637L,20.26
00638R,6.58
00639,16.38
00640L,112.7
00641R,3.61
00642U,28.86
00643,18.44
00643K,3.9
00645,59.1
00646,76.55
00647L,137.8
00648R,3.92
00649,19.12
00650L,16.84
00651R,5.19
00652,32.95
00653L,46.2
00654R,6.75
00655L,34.26
00656R,5.82
00657,77.7
00657K,24.64
00658L,37.0
00659R,11.21
00660,47.0
00661,85.5
00662,119.5
00663L,107.85
00664R,1.57
00665L,9.36
00666R,9.03
00667,20.79
00668,61.55
00668K,19.46
00669R,5.18
00670L,199.35
00671R,2.43
00672L,0.75
00673R,11.89
00674R,27.6
00675L,327.35
00676R,5.4
00677U,1.48
00678,43.19
00679B,25.59
00680L,6.35
00681R,21.84
00682U,20.41
00683L,21.38
00684R,15.05
00685L,12.31
00686R,0.96
00687B,26.92
00687C,9.06
00688L,6.35
00689R,22.86
00690,79.85
00691R,10.46
00692,92.95
00693U,23.64
00694B,41.58
00695B,34.48
00696B,27.87
00697B,35.04
00700,17.26
00701,39.07
00702,24.92
00703,19.41
00704L,18.84
00705R,19.03
00706L,18.78
00707R,32.18
00708L,82.05
00709,40.65
00710B,19.04
00711B,15.52
00712,8.68
00713,62.35
00714,21.61
00715L,52.25
00716R,13.96
00717,14.67
00718B,19.05
00719B,30.95
00720B,31.73
00721B,48.06
00722B,34.06
00723B,29.18
00724B,32.6
00725B,33.8
00726B,32.1
00727B,39.12
00728,70.5
00729R,20.56
00730,29.26
00731,96.45
00732,40.74
00733,68.0
00734B,15.37
00735,104.5
00736,31.77
00737,41.32
00738U,52.7
00739,27.96
00740B,37.16
00741B,37.07
00742,22.2
00743,24.2
00744B,42.35
00745B,42.04
00746B,34.24
00747B,51.85
00748B,42.52
00749B,30.66
00750B,31.56
00751B,30.23
00752,22.96
00753L,9.36
00754B,31.2
00755B,31.34
00756B,30.21
00757,139.25
00758B,49.82
00759B,52.35
00760B,52.05
00761B,32.82
00762,111.7
00763U,35.05
00764B,26.81
00765B,38.72
00766L,11.92
00767,17.4
00768B,47.76
00769B,60.3
00770,67.65
00771,15.29
00772B,32.27
00773B,34.62
00774B,40.85
00774C,9.12
00775B,30.6
00776,20.78
00777B,31.08
00778B,33.06
00779B,27.13
00780B,36.23
00781B,26.98
00782B,29.22
00783,28.3
00784B,39.32
00785B,33.77
00786B,31.53
00787B,31.62
00788B,28.95
00789B,45.87
00790B,53.2
00791B,56.6
00792B,30.6
00793B,29.53
00794B,39.82
00795B,25.7
00796B,41.84
00797B,41.36
00798B,42.65
00799B,28.36
008201,101.2
00830,81.05
00831B,41.42
00832B,42.92
00833B,43.87
00834B,33.02
00835B,45.16
00836B,27.72
00837B,37.64
00838B,40.38
00839B,41.85
00840B,28.58
00841B,27.26
00842B,29.18
00843B,40.37
00844B,30.25
00845B,32.4
00846B,34.97
00847B,24.42
00848B,33.23
00849B,37.13
00850,93.2
00851,69.5
00852L,35.25
00853B,26.6
00854B,41.86
00855B,38.6
00856B,37.26
00857B,22.35
00858,35.7
00859B,40.92
00860B,37.72
00861,84.45
00862B,30.54
00863B,30.65
00864B,45.83
00865B,48.59
00866,21.84
00867B,29.23
00868B,36.17
00869B,36.69
00870B,27.23
00872B,37.13
00873B,37.28
00874B,38.04
00875,55.2
00876,86.3
00877,37.25
00878,33.76
00881,51.05
00882,14.93
00883B,30.98
00884B,28.52
00885,18.55
00886,47.2
00887,16.13
00888,34.08
00890B,31.04
00891,35.39
00892,41.37
00893,42.49
00894,48.27
00895,49.83
00896,28.52
00897,13.0
00898,10.76
00899,22.94
00900,19.54
00901,46.72
00902,13.41
00903,21.17
00904,41.29
00905,26.78
00906,11.95
00907,17.4
00908,15.31
00909,45.91
00910,57.3
00911,51.2
00912,35.24
00913,48.37
00915,32.38
00916,26.83
00917,24.02
00918,35.29
00919,32.31
00920,24.3
00921,24.76
00922,42.4
00923,40.35
00924,32.9
00925,16.1
00926,26.22
00927,37.35
00928,33.72
00929,29.46
00930,24.24
00931B,12.94
00932,17.61
00933B,15.5
00934,30.82
00935,59.6
00936,21.61
00937B,14.25
00938,25.76
00939,23.26
00940,12.93
00941,24.92
00942B,13.68
00943,21.45
00944,21.25
00945B,14.39
00946,15.74
00947,38.11
00948B,9.1
00949,22.19
00950B,13.58
00951,16.69
00952,18.52
00953B,9.63
00954,17.8
00955,15.93
00956,13.56
00957B,12.9
00958B,8.97
00959B,9.09
00960,20.96
00961,13.29
00962,15.6
00963,13.08
00964,14.94
00965,25.65
00966B,13.36
00967B,8.85
00968B,8.94
00969B,7.9
00970B,9.01
00971,17.41
00972,22.09
009800,12.95
009801,11.1
009802,20.49
009803,22.25
009804,23.11
009805,14.77
009806,13.55
009807,16.8
009808,31.36
009809,18.01
00980A,25.14
00980B,9.13
00980D,20.04
00980T,11.73
009810,21.23
009811,13.19
009812,12.95
009813,11.19
009814,11.33
009815,11.42
009816,15.89
009817,8.99
009818,19.74
009819,9.74
00981A,30.37
00981B,9.14
00981D,10.28
00981T,11.85
009820,9.77
009821,15.16
009822,9.55
009823,10.4
009824,9.96
009825,10.02
009826,10.07
009829,10.46
00982A,23.34
00982B,9.44
00982D,9.65
00982T,15.87
00983A,12.44
00983B,15.03
00983D,9.86
00984A,15.9
00984B,15.74
00984D,9.91
00985A,23.5
00985B,10.16
00985D,9.78
00986A,14.24
00986B,9.56
00986D,14.31
00987A,16.88
00987B,15.8
00987D,9.92
00988A,16.17
00988B,19.48
00989A,17.02
00989B,10.02
00990A,15.13
00990B,9.93
00991A,18.24
00991B,14.72
00992A,18.87
00993A,13.71
00994A,17.32
00995A,17.77
00996A,14.38
00997A,11.09
00998A,17.83
00999A,11.62
020000,31.25
020001,28.77
020002,11.12
020003,15.89
020004,33.28
020005,19.35
020006,32.05
020007,41.23
020008,13.31
020009,26.67
020010,13.56
020011,16.4
020012,23.0
020013,14.84
020014,6.3
020015,18.69
020016,28.32
020018,24.94
020019,21.59
02001B,8.75
020020,28.72
020021,4.42
020022,7.62
020023,7.2
020024,5.94
020025,37.82
020026,6.37
020027,10.65
02002L,7.38
02003L,4.34
1101,25.3
1101B,43.25
1102,35.15
1103,13.25
1104,27.1
1108,11.7
1109,13.5
1110,16.1
1201,12.2
1203,44.3
1210,51.7
1213,7.54
1215,108.0
1216,76.2
1217,10.0
1218,14.5
1219,11.5
1220,10.7
1225,25.35
1227,28.45
1229,41.6
1231,80.3
1232,157.0
1233,28.35
1234,33.3
1235,37.35
1236,25.85
1240,58.0
1256,178.0
1258,26.85
1259,63.8
1262,34.9
1264,253.0
1268,182.5
1294,53.9
1295,45.5
1301,67.8
1303,234.5
1304,12.65
1305,12.6
1307,30.6
1308,14.5
1309,13.85
1310,8.85
1312,15.65
1312A,23.0
1313,12.15
1314,8.26
1315,66.1
1316,10.95
1319,83.2
1321,32.65
1323,21.25
1324,10.1
1325,25.65
1326,74.3
1333,1.44
1336,17.0
1337,4.61
1338,14.55
1339,43.45
1340,5.21
1341,59.6
1342,103.0
1402,29.4
1409,25.65
1410,24.9
1413,9.24
1414,18.9
1416,11.7
1417,8.31
1418,17.65
1419,67.2
1423,35.6
1432,15.05
1434,18.35
1435,22.0
1436,38.7
1437,31.95
1438,22.4
1439,29.2
1440,13.85
1441,8.82
1442,29.55
1443,23.7
1444,7.08
1445,10.3
1446,13.6
1447,6.9
1449,12.4
1451,17.3
1452,11.4
1453,11.15
1454,12.3
1455,10.25
1456,14.25
1457,14.4
1459,15.5
1460,6.61
1463,17.55
1464,10.05
1465,12.35
1466,16.1
1467,8.3
1468,13.0
1470,24.85
1471,9.94
1472,88.5
1473,20.0
1474,9.97
1475,26.1
1476,314.5
1477,195.5
1503,208.5
1504,73.5
1506,10.05
1507,64.8
1512,6.38
1513,166.0
1514,103.5
1515,32.95
1516,13.8
1517,11.15
1519,761.0
1521,25.9
1522,27.6
1522A,51.0
1524,27.2
1525,67.6
1526,16.2
1527,32.6
1528,19.1
1529,17.0
1530,28.55
1531,11.95
1532,23.2
1533,31.1
1535,45.7
1536,49.35
1537,118.0
1538,8.96
1539,15.6
1540,19.55
1541,21.9
1558,103.0
1560,744.0
1563,66.0
1565,99.6
1566,19.65
1568,29.2
1569,46.35
1570,33.1
1580,104.5
1582,75.9
1583,48.25
1584,18.25
1586,18.05
1587,24.05
1589,5.54
1590,1445.0
1591,36.65
1592,2.57
1593,31.65
1595,66.4
1597,144.5
1598,20.25
1599,22.95
1603,30.6
1604,23.3
1605,38.75
1608,37.35
1609,37.25
1611,11.8
1612,34.75
1614,30.8
1615,44.1
1616,19.45
1617,19.6
1618,39.9
1623,208.0
1626,9.65
1701,21.15
1702,32.8
1707,90.8
1708,51.3
1709,36.4
1710,16.1
1711,44.0
1712,40.15
1713,45.0
1714,18.55
1717,84.7
1718,11.15
1720,56.1
1721,20.85
1722,44.65
1723,85.6
1724,15.6
1725,31.6
1726,77.0
1727,95.3
1730,51.4
1731,21.0
1732,26.1
1733,32.2
1734,30.6
1735,21.65
1736,124.0
1737,30.7
1742,17.9
1752,31.65
1760,58.0
1762,35.8
1773,171.5
1776,17.1
1777,74.2
1780,24.6
1781,10.4
1783,39.7
1784,60.5
1785,103.0
1786,47.1
1787,26.15
1788,129.0
1789,19.0
1795,186.5
1796,29.9
1799,30.5
1802,61.3
1805,10.15
1806,8.07
1808,34.85
1809,38.9
1810,24.7
1813,11.5
1815,129.0
1817,40.3
1902,20.65
1903,47.95
1904,24.85
1905,13.7
1906,11.3
1907,29.85
1909,11.0
2002,19.05
2002A,37.2
2006,81.2
2007,7.0
2008,31.2
2009,40.7
2010,22.45
2012,14.65
2013,41.8
2014,17.05
2015,64.2
2017,9.15
2020,21.9
2022,7.57
2023,13.7
2024,13.4
2025,12.8
2027,49.8
2028,15.8
2029,21.9
2030,22.75
2031,45.15
2032,17.35
2033,23.9
2034,20.6
2035,26.6
2038,12.8
2049,359.0
2059,14150.0
2061,55.0
2062,19.1
2063,24.05
2064,12.4
2065,36.55
2066,54.2
2067,4.92
2069,21.15
2070,68.1
2072,141.5
2073,26.4
2101,31.4
2102,18.5
2103,28.8
2104,10.45
2105,31.15
2106,17.45
2107,27.0
2108,30.5
2109,14.8
2114,89.3
2115,23.95
2201,31.5
2204,54.8
2206,63.2
2207,518.0
2208,19.15
2211,83.1
2221,77.7
2227,48.05
2228,74.6
2230,22.1
2231,91.9
2233,176.0
2235,28.3
2236,120.0
2237,27.95
2239,20.1
2241,34.05
2243,46.2
2247,231.0
2248,61.9
2250,58.8
2254,61.5
2258,31.5
2301,300.5
2302,44.0
2303,132.5
2305,29.55
2308,1865.0
2312,33.05
2313,252.0
2314,11.4
2316,166.5
2317,256.0
2321,14.35
2323,10.95
2324,39.9
2327,568.0
2328,47.5
2329,43.7
2330,2440.0
2331,19.7
2332,19.85
2337,122.5
2338,39.25
2340,34.1
2342,41.2
2344,176.0
2345,2205.0
2347,86.0
2348,70.7
2348A,38.3
2349,11.1
2351,226.0
2352,28.4
2353,31.75
2354,65.9
2355,44.2
2356,66.6
2357,1010.0
2358,4.56
2359,144.0
2360,2030.0
2362,47.7
2363,51.5
2364,66.9
2365,29.95
2367,44.65
2368,1225.0
2369,31.7
2371,28.65
2373,53.1
2374,68.7
2375,127.0
2376,359.0
2377,154.0
2379,744.0
2380,18.5
2382,342.0
2383,5640.0
2385,107.0
2387,36.9
2388,73.3
2390,10.25
2392,45.9
2393,65.4
2395,711.0
2397,62.4
2399,46.15
2401,25.45
2402,62.2
2404,1100.0
2405,15.3
2406,28.4
2408,518.0
2409,26.4
2412,136.0
2413,43.2
2414,52.3
2415,28.95
2417,43.5
2419,25.4
2420,55.1
2421,177.0
2423,74.3
2424,8.05
2425,37.45
2426,107.5
2427,22.2
2428,256.0
2429,32.7
2430,17.8
2431,10.3
2432,27.45
2433,41.55
2434,68.2
2436,66.7
2438,18.25
2439,78.6
2440,14.3
2441,119.5
2442,19.35
2443,3.57
2444,11.0
2448,41.4
2449,279.0
2450,28.15
2451,295.0
2453,52.2
2454,4315.0
2455,524.0
2456,94.6
2457,22.7
2458,138.0
2459,66.7
2460,29.1
2461,18.3
2462,20.55
2464,184.5
2465,95.8
2466,99.5
2467,624.0
2468,33.45
2471,50.5
2472,224.0
2474,213.5
2476,127.5
2477,21.6
2478,123.5
2480,155.5
2481,157.0
2482,15.95
2483,34.8
2484,76.7
2485,42.9
2486,276.0
2488,48.25
2489,42.8
2491,45.75
2492,302.5
2493,187.0
2495,37.95
2496,54.6
2497,45.2
2498,40.9
2499,4.12
2501,22.5
2504,31.45
2505,17.0
2506,8.56
2509,15.25
2511,8.3
2514,11.8
2515,12.05
2516,14.1
2520,36.1
2524,34.9
2527,43.95
2528,19.95
2530,19.75
2534,17.15
2535,89.2
2536,20.8
2537,11.7
2538,8.83
2539,35.55
2540,48.1
2542,47.9
2543,38.65
2545,34.55
2546,104.0
2547,9.98
2548,93.2
2596,35.2
2597,170.5
2601,6.76
2603,238.0
2605,34.75
2606,75.0
2607,53.6
2608,28.6
2609,57.6
2610,20.35
2611,14.8
2612,60.9
2613,22.7
2614,18.25
2615,114.5
