# 收盤價 MD
# T:2026-09-01 09:47

## [CLOSE]
```csv
代號,收盤價
3037,972.0
2408,527.0
1303,236.5
4958,525.0
3105,485.0
2303,133.5
2330,2420.0
3189,882.0
8046,1295.0
2344,177.5
2327,562.0
2455,524.0
3008,7925.0
2454,4315.0
8358,542.0
3711,609.0
2368,1215.0
2449,272.5
2313,253.0
3406,1080.0
3443,6135.0
6488,959.0
3324,1330.0
2492,302.5
1326,74.1
3026,760.0
3374,423.0
6669,7480.0
2308,1845.0
8039,313.0
3450,645.0
6770,71.5
1815,128.0
8299,2135.0
3017,3435.0
00631L,36.93
3081,3490.0
3665,2295.0
3661,4225.0
0050,108.05
6182,111.0
6173,263.0
2383,5680.0
6213,562.0
6446,1350.0
3481,49.55
6805,2275.0
4971,660.0
2317,254.0
00981A,30.26
2426,98.9
1717,85.2
4991,534.0
3006,285.5
3363,760.0
6147,181.0
6223,5250.0
1301,67.4
3211,407.0
6274,1440.0
1101,26.0
6187,1370.0
00685L,12.21
3532,398.0
8150,93.1
00918,35.17
2301,304.0
6239,285.5
3653,6000.0
2345,2085.0
3167,826.0
2481,151.5
00919,32.3
1312,15.55
2059,14365.0
3231,180.5
2357,1005.0
5274,16590.0
3680,542.0
2409,26.6
2887,39.85
3491,1450.0
6257,218.0
6515,6750.0
6510,2985.0
8021,446.5
7769,5820.0
2382,338.5
00403A,10.44
5483,183.5
2609,58.7
1409,25.75
8111,72.5
6531,936.0
2337,124.0
3715,132.5
2421,180.0
6727,576.0
6442,1645.0
00878,33.74
3529,2640.0
8103,125.0
00632R,9.79
1802,61.5
2489,42.15
5289,1465.0
2615,113.5
00406A,9.91
6269,74.7
6209,84.4
2881,143.5
6640,1215.0
8996,1170.0
3090,174.0
3605,125.5
2883,34.9
6415,416.5
3264,235.0
2360,2030.0
6533,266.5
3045,114.5
2891,65.6
3533,1735.0
3293,715.0
6789,482.5
6451,451.5
2603,235.5
6933,308.5
3042,185.0
00881,51.0
0056,54.95
6505,74.5
5439,271.0
2379,748.0
6919,94.0
7711,555.0
3019,151.0
3706,93.8
4931,261.5
2377,153.5
6290,262.0
5347,154.0
4977,183.0
2882,110.5
009816,15.82
2354,65.9
2395,688.0
5351,119.0
3260,414.5
4967,280.5
2324,40.0
1714,18.55
3583,779.0
00935,59.45
00991A,18.28
3034,548.0
8069,157.0
2351,225.5
2467,631.0
3498,202.5
7788,317.0
7751,1640.0
2464,179.5
5425,94.9
1519,746.0
0052,62.95
1718,11.25
6271,221.0
2834,17.1
5475,203.0
3376,214.0
6285,251.5
3044,501.0
3035,183.0
00982A,23.17
2376,356.0
2884,39.3
6139,771.0
009802,20.36
2356,66.7
8086,122.5
00927,37.37
2049,362.0
00891,35.34
1560,723.0
1504,74.3
7610,1580.0
2885,66.2
00663L,107.15
8043,145.0
6781,1165.0
5871,113.5
3131,2435.0
00929,29.51
2890,41.35
00407A,9.96
00992A,18.84
3693,627.0
00405A,8.91
8210,1000.0
4908,229.5
00400A,15.32
2474,212.0
8028,250.5
2404,1080.0
5443,116.0
1709,35.05
3455,260.0
3016,105.0
3141,88.5
2441,120.5
2486,270.0
2316,169.5
3234,203.0
4542,306.0
2375,128.0
6830,528.0
2451,296.5
6584,645.0
7795,530.0
3265,180.0
2892,35.25
00947,38.27
6196,504.0
2634,67.0
6962,33.05
4576,229.5
5876,44.25
1605,39.35
5386,278.0
1727,99.2
5269,1465.0
3624,89.9
2886,48.3
2472,225.5
3702,101.5
8042,108.0
6526,667.0
6672,279.5
5536,891.0
