# 收盤價 MD
# T:2026-08-31 09:21

## [CLOSE]
```csv
代號,收盤價
1303,236.5
2330,2375.0
3189,850.0
2408,546.0
2368,1220.0
2327,572.0
8046,1240.0
4958,488.0
2303,125.0
2454,3870.0
8358,543.0
2455,477.0
3008,7330.0
2344,182.5
2492,307.5
3105,459.0
3374,393.0
3026,732.0
6770,72.2
2313,251.5
3481,50.4
2308,1815.0
6446,1545.0
1815,125.0
3711,587.0
3081,3365.0
3406,949.0
6213,551.0
3450,621.0
8039,340.5
2449,255.5
6173,248.5
00981A,29.24
6488,928.0
3017,3305.0
6669,7180.0
3443,5820.0
0050,105.25
3037,999.0
2383,5380.0
00631L,35.17
2317,247.0
2615,114.0
3661,3980.0
2301,309.5
3605,136.5
3006,281.5
6274,1450.0
2609,58.6
3231,177.0
6805,2370.0
3665,2180.0
8299,2145.0
4931,279.5
00406A,9.61
2882,110.0
6147,176.0
3491,1500.0
2421,175.5
2426,92.2
3653,5835.0
2345,2020.0
6269,81.7
3324,1150.0
8996,1190.0
8021,457.5
6239,278.5
2481,153.5
7769,6115.0
7751,1625.0
4939,92.4
6584,656.0
2887,38.1
2409,26.55
6226,34.9
00685L,11.6
2489,42.95
6442,1615.0
00403A,10.13
2059,13950.0
6187,1355.0
2337,125.5
3044,500.0
6182,107.5
2464,181.0
7788,330.0
6415,430.0
00991A,17.84
00632R,10.03
3363,695.0
5439,271.0
5483,177.0
3715,122.0
6223,4950.0
6257,209.5
3167,768.0
2360,1940.0
1326,64.1
3376,212.5
4991,520.0
1301,64.3
5475,206.0
3042,185.0
5289,1440.0
0056,53.95
2603,234.5
2382,327.5
2881,144.5
00919,31.6
4908,199.0
3211,394.5
3533,1690.0
1802,60.5
3260,411.5
2324,39.9
3131,2395.0
1519,734.0
3532,387.5
3090,172.5
5274,15300.0
6290,256.0
00708L,83.1
6933,286.0
2606,76.9
6515,6420.0
1717,79.3
5347,150.0
1312,15.15
6531,883.0
009816,15.39
6613,282.5
8103,119.0
3293,712.0
3529,2415.0
2891,64.4
8069,156.5
6451,439.5
3583,705.0
2883,33.1
3680,499.0
3264,226.5
2351,233.0
00992A,18.28
8043,145.0
1727,103.5
5351,116.5
3543,55.0
3702,97.5
2634,67.3
5425,95.9
5386,265.0
6139,761.0
6510,2670.0
2892,34.65
8150,88.9
6830,510.0
3498,208.0
3645,74.2
8111,67.8
2890,39.9
00881,49.12
6505,72.8
6672,284.5
2404,1055.0
2834,16.65
00878,32.9
8042,110.0
6538,205.0
2357,961.0
0052,61.25
2375,132.5
2451,292.0
3339,47.0
2884,38.7
2880,40.75
8210,979.0
6278,199.0
6271,212.0
6209,77.3
2377,146.0
00663L,101.25
6727,536.0
8033,188.5
3455,253.0
6781,1120.0
4542,295.5
00830,80.45
7828,1820.0
5536,880.0
7610,1490.0
00929,28.85
00937B,14.36
2886,47.85
6831,634.0
5340,85.5
4979,592.0
6285,249.0
8086,121.5
2467,580.0
3693,594.0
2402,60.5
3049,14.0
2637,93.4
2395,662.0
00927,35.87
1513,165.0
2428,260.0
2049,346.0
7795,528.0
6919,102.0
00988A,15.83
2478,128.0
2472,229.5
2885,64.0
6913,163.5
4577,90.3
00405A,8.61
