# 收盤價 MD
# T:2026-08-27 08:47

## [CLOSE]
```csv
代號,收盤價
00400A,14.71
00401A,13.5
00402A,9.51
00403A,10.16
00404A,9.63
00405A,8.63
00406A,9.66
00407A,9.68
00408A,10.44
00410A,11.73
0050,105.9
0051,144.5
0052,61.95
0053,241.15
0054,28.25
0055,44.52
0056,53.25
0057,317.0
0058,43.71
0059,42.85
0061,24.38
006201,43.49
006203,193.2
006204,228.1
006205,40.62
006206,37.73
006207,32.49
006208,242.85
00625K,8.77
00631L,35.71
00632R,9.99
00633L,48.63
00634R,3.12
00635U,48.1
00636,27.89
00636K,8.76
00637L,20.12
00638R,6.66
00639,16.65
00640L,108.75
00641R,3.65
00642U,26.86
00643,18.52
00643K,3.89
00645,58.05
00646,76.95
00647L,138.5
00648R,3.92
00649,19.12
00650L,17.45
00651R,5.12
00652,33.44
00653L,47.5
00654R,6.68
00655L,33.83
00656R,5.86
00657,78.0
00657K,24.51
00658L,37.0
00659R,11.21
00660,46.6
00661,85.9
00662,119.4
00663L,102.9
00664R,1.61
00665L,9.61
00666R,8.93
00667,20.79
00668,62.35
00668K,19.6
00669R,5.16
00670L,196.25
00671R,2.45
00672L,0.75
00673R,12.8
00674R,26.37
00675L,311.85
00676R,5.53
00677U,1.48
00678,45.04
00679B,26.11
00680L,6.54
00681R,21.52
00682U,20.36
00683L,21.2
00684R,15.25
00685L,11.75
00686R,0.99
00687B,27.43
00687C,9.18
00688L,6.54
00689R,22.57
00690,76.85
00691R,10.46
00692,91.0
00693U,22.52
00694B,41.95
00695B,35.02
00696B,28.41
00697B,35.6
00700,17.56
00701,37.79
00702,25.34
00703,19.71
00704L,18.84
00705R,19.03
00706L,18.98
00707R,32.18
00708L,90.85
00709,41.29
00710B,19.14
00711B,15.7
00712,8.84
00713,61.65
00714,22.34
00715L,46.36
00716R,13.96
00717,14.82
00718B,19.05
00719B,31.22
00720B,32.13
00721B,48.06
00722B,34.56
00723B,29.56
00724B,33.07
00725B,34.19
00726B,32.39
00727B,39.44
00728,68.25
00729R,20.56
00730,29.13
00731,92.95
00732,40.74
00733,67.15
00734B,15.56
00735,102.65
00736,31.78
00737,40.67
00738U,55.2
00739,27.84
00740B,37.57
00741B,37.37
00742,22.2
00743,24.2
00744B,42.35
00745B,42.04
00746B,34.75
00747B,51.85
00748B,42.52
00749B,30.99
00750B,31.93
00751B,30.63
00752,23.4
00753L,9.68
00754B,31.67
00755B,31.88
00756B,30.63
00757,137.2
00758B,50.5
00759B,53.25
00760B,52.65
00761B,33.31
00762,111.05
00763U,35.88
00764B,27.33
00765B,38.72
00766L,11.92
00767,17.4
00768B,48.59
00769B,60.3
00770,66.75
00771,15.45
00772B,32.78
00773B,35.15
00774B,40.85
00774C,9.12
00775B,31.1
00776,20.78
00777B,31.45
00778B,33.57
00779B,27.67
00780B,36.71
00781B,27.38
00782B,29.7
00783,28.14
00784B,39.32
00785B,34.29
00786B,32.05
00787B,32.07
00788B,29.38
00789B,46.55
00790B,53.2
00791B,56.95
00792B,31.13
00793B,30.17
00794B,39.82
00795B,26.2
00796B,41.84
00797B,41.36
00798B,42.65
00799B,28.79
008201,101.2
00830,82.2
00831B,41.42
00832B,42.92
00833B,43.87
00834B,33.42
00835B,45.16
00836B,28.13
00837B,37.64
00838B,40.38
00839B,41.85
00840B,28.97
00841B,27.61
00842B,29.61
00843B,40.37
00844B,30.8
00845B,32.73
00846B,35.45
00847B,24.9
00848B,33.67
00849B,37.42
00850,90.4
00851,69.95
00852L,35.89
00853B,27.03
00854B,41.86
00855B,38.6
00856B,37.91
00857B,22.8
00858,35.82
00859B,41.14
00860B,38.03
00861,85.35
00862B,30.99
00863B,31.01
00864B,46.15
00865B,48.86
00866,21.84
00867B,29.61
00868B,36.17
00869B,36.69
00870B,27.67
00872B,37.13
00873B,37.28
00874B,38.04
00875,52.5
00876,86.7
00877,36.81
00878,32.82
00881,49.53
00882,15.11
00883B,30.98
00884B,28.95
00885,18.41
00886,46.73
00887,16.16
00888,32.97
00890B,31.4
00891,34.36
00892,39.73
00893,42.66
00894,46.2
00895,49.87
00896,27.6
00897,13.88
00898,11.29
00899,23.61
00900,18.94
00901,45.45
00902,13.45
00903,21.14
00904,40.22
00905,26.21
00906,11.95
00907,17.18
00908,15.69
00909,47.69
00910,58.65
00911,52.15
00912,34.38
00913,46.44
00915,31.68
00916,26.91
00917,24.32
00918,34.18
00919,31.21
00920,24.24
00921,24.37
00922,41.01
00923,39.27
00924,33.03
00925,16.1
00926,26.06
00927,36.36
00928,32.37
00929,28.98
00930,23.92
00931B,13.2
00932,17.6
00933B,15.72
00934,29.3
00935,57.0
00936,21.41
00937B,14.41
00938,25.05
00939,22.69
00940,12.65
00941,25.55
00942B,13.88
00943,21.35
00944,20.88
00945B,14.48
00946,15.55
00947,37.45
00948B,9.21
00949,21.87
00950B,13.78
00951,17.2
00952,18.09
00953B,9.7
00954,18.31
00955,15.58
00956,13.44
00957B,13.07
00958B,9.1
00959B,9.19
00960,21.19
00961,13.16
00962,15.21
00963,13.23
00964,14.82
00965,25.67
00966B,13.6
00967B,9.01
00968B,9.05
00969B,8.1
00970B,9.12
00971,17.53
00972,22.02
009800,12.93
009801,11.08
009802,19.18
009803,21.55
009804,22.35
009805,15.18
009806,13.59
009807,16.5
009808,30.37
009809,17.7
00980A,24.52
00980B,9.26
00980D,20.19
00980T,11.72
009810,21.28
009811,13.21
009812,12.89
009813,11.21
009814,11.37
009815,11.35
009816,15.43
009817,9.15
009818,19.56
009819,9.81
00981A,29.44
00981B,9.2
00981D,10.35
00981T,11.86
009820,9.68
009821,16.09
009822,10.0
009823,10.44
009824,9.88
009825,10.28
009826,10.16
009829,10.42
00982A,22.19
00982B,9.45
00982D,9.75
00982T,15.29
00983A,12.71
00983B,15.34
00983D,9.98
00984A,15.55
00984B,15.95
00984D,10.07
00985A,23.02
00985B,10.26
00985D,9.88
00986A,14.25
00986B,9.67
00986D,14.48
00987A,16.27
00987B,16.08
00988A,16.23
00988B,19.64
00989A,16.65
00989B,10.11
00990A,15.24
00990B,9.99
00991A,18.02
00991B,14.96
00992A,18.16
00993A,13.39
00994A,17.2
00995A,17.03
00996A,13.93
00997A,11.07
00998A,17.93
00999A,11.29
020000,31.12
020001,26.35
020002,11.12
020003,15.89
020004,33.28
020005,19.35
020006,32.05
020007,41.23
020008,13.31
020009,26.67
020010,13.56
020011,16.4
020012,22.88
020013,14.84
020014,6.3
020015,18.69
020016,28.32
020018,24.94
020019,21.59
02001B,8.75
020020,27.27
020021,4.42
020022,7.62
020023,7.2
020024,5.94
