# 收盤價 MD
# T:2026-09-22 09:35

## [CLOSE]
```csv
代號,收盤價
2454,5415.0
2409,36.65
2303,165.5
2330,2495.0
8046,1165.0
3189,902.0
2308,1930.0
4958,498.0
3481,51.6
2408,513.0
3037,1120.0
2449,321.5
6488,980.0
3711,706.0
6274,1435.0
3008,6680.0
1303,239.5
3661,3790.0
6182,121.0
2327,569.0
6213,573.0
2344,176.5
7856,4720.0
3665,2270.0
3105,495.5
8299,2220.0
00981A,30.51
8150,102.5
3026,803.0
1815,124.5
0050,113.2
2455,556.0
3231,182.5
3374,476.5
6147,224.5
3443,8375.0
2368,1055.0
3324,1575.0
8996,1575.0
00631L,39.41
5274,21310.0
3081,2880.0
3605,169.5
6770,73.9
00403A,10.8
2492,312.5
6669,2115.0
3017,3485.0
5483,195.5
6515,5750.0
6239,298.5
4979,625.0
3653,5935.0
3264,280.0
2383,4955.0
6257,257.5
7769,6045.0
8021,469.5
2481,172.0
6805,2540.0
6223,5450.0
3532,451.0
6173,315.0
2301,294.5
3450,549.0
3406,968.0
2345,1875.0
8028,268.5
3016,130.0
5347,176.5
2059,13100.0
3714,71.5
2317,250.5
2363,62.0
3529,2960.0
3055,206.5
00685L,13.06
1709,43.5
6683,1650.0
6168,44.5
6278,211.5
2313,224.0
8039,270.5
2360,2395.0
6510,3570.0
6456,76.7
6116,15.85
3035,205.5
8110,50.6
6706,156.5
00406A,9.91
4991,485.5
00409A,10.12
3533,1745.0
1560,944.0
6538,454.5
3006,282.5
3624,131.5
3211,394.0
6446,1135.0
00991A,18.1
2337,121.0
3363,667.0
2379,754.0
00405A,9.29
2376,362.0
3044,542.0
6715,468.0
6443,28.75
2426,100.0
5475,186.5
2382,343.5
00407A,10.13
6861,269.0
6526,739.0
4919,129.5
3693,712.0
6531,949.0
1802,60.5
3167,824.0
4542,323.5
8111,80.1
2882,114.5
6290,287.0
00918,34.14
2887,43.3
00919,32.33
6533,269.5
8064,140.0
00935,62.0
2404,1155.0
3036,206.5
6505,86.6
009816,16.7
1528,27.4
00927,40.5
00632R,9.42
2885,71.4
2881,156.0
0056,57.3
3094,53.7
1569,64.4
2883,39.95
2489,43.15
6442,1545.0
4956,44.3
6672,311.5
4763,48.3
6166,130.5
00881,52.95
0052,65.65
6187,1245.0
2324,37.4
2406,29.95
00891,38.01
00400A,15.65
1301,65.0
5871,109.5
1326,67.5
6218,61.7
3260,389.0
3491,1530.0
3680,549.0
00830,87.7
2603,242.0
6139,726.0
3707,67.2
6919,84.9
6902,170.5
1605,37.6
6830,560.0
2441,129.5
4931,243.0
2464,193.5
6451,441.5
00663L,114.3
00929,29.29
5536,896.0
00992A,18.81
2615,117.5
4908,228.5
4951,96.8
3163,671.0
5289,1320.0
8210,918.0
3042,186.0
009828,9.7
4971,583.0
6285,239.0
3034,553.0
3498,206.0
6620,131.5
7799,512.0
3715,125.0
2609,61.1
7772,188.0
2395,712.0
6426,373.5
6789,477.5
5314,26.95
7795,507.0
6197,326.5
00982A,23.33
7610,1910.0
8358,499.5
5425,94.5
4903,41.5
3563,691.0
6291,511.0
00947,41.22
2357,945.0
2891,70.2
2221,154.0
8027,182.5
00878,35.5
2486,238.0
6834,116.0
00988A,16.88
1314,8.88
6217,176.5
6196,548.0
2351,238.0
2884,46.05
2332,20.65
8103,128.0
7711,547.0
2472,218.5
2413,52.9
6271,233.0
3219,108.5
1727,101.5
3014,138.5
3149,66.5
00637L,20.1
5351,109.5
7717,601.0
3131,2450.0
006208,258.6
3441,176.5
3380,32.35
6643,485.5
00888,36.58
4906,39.45
2412,143.5
6207,118.0
3376,178.0
2305,58.8
6199,116.5
2377,154.0
2886,50.8
00662,124.35
2353,31.85
2356,61.7
3675,297.5
8215,29.9
2542,46.1
8040,86.5
4939,80.1
6415,432.0
2855,58.6
4938,90.6
2049,335.5
3141,91.8
2338,48.3
2316,162.0
8431,66.0
00675L,346.2
2892,39.95
6668,50.9
2890,45.5
6425,73.3
6727,476.0
3178,76.7
3045,124.5
5465,31.6
00411A,10.48
3265,184.5
3673,67.1
1590,1250.0
4960,24.25
8054,89.7
2618,42.25
3029,122.5
6933,328.5
2436,69.9
8112,82.9
3702,113.5
3455,256.0
4967,276.5
8227,309.0
1595,73.5
009829,11.17
2466,116.5
009820,10.43
2801,28.55
2002,18.65
2354,65.4
00922,44.15
6214,192.0
7750,2020.0
2428,260.0
2369,31.75
8042,114.5
4977,173.5
00896,27.83
3357,211.5
2399,49.0
3339,46.5
3090,166.0
1476,276.5
7828,2040.0
00402A,10.0
00679B,25.58
3312,54.7
7792,350.0
2467,532.0
2451,285.5
00961,13.29
6179,37.45
2419,29.6
00735,110.1
5269,1490.0
00708L,78.8
3234,178.0
6781,1015.0
3062,22.5
7734,2650.0
3293,725.0
3583,713.0
00673R,10.57
3704,41.85
1717,72.1
8261,176.5
2634,63.4
3591,24.2
6640,1115.0
1519,719.0
8069,145.0
00937B,14.27
2342,42.3
3717,25.3
6907,188.5
6005,32.75
00712,7.91
3576,17.6
2392,43.8
6691,644.0
2371,29.6
6227,137.5
6205,68.0
2493,185.5
5439,249.5
2834,18.25
5434,546.0
00980A,25.65
00670L,213.2
1785,97.7
2359,131.0
00990A,15.87
1513,167.5
4576,234.0
00715L,63.5
3236,44.75
2605,37.3
8033,170.0
2880,46.6
00930,24.98
